Title,Note,URL,Tags,Comment
,,,,
Rüyam Gemüse Kebab,,https://www.google.com/maps/place/R%C3%BCyam+Gem%C3%BCse+Kebab/data=!4m2!3m1!1s0x47a85041cced47fd:0xb446f290dc551d69,,
Poffertjes en Pannekoeken,!!! Eat Delicious Dutch Poffertjes (pancakes) @ potsdam,https://www.google.com/maps/place/Poffertjes+en+Pannekoeken/data=!4m2!3m1!1s0x47a8f5da2a351f95:0x97bc184e09f13d6f,,
,!!! Authentic German Food,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a851c5e7cc52db:0xac6ffeb41b57c2d3,,
,"!!! Either the smoked fish and eel plate with potato rösti, a heavenly combination of perfectly smoked fish (the eel is very good) and crispy hash brown, or the pan-fried plaice with fried potatoes, which, like every good German chef, is laced with an enormous amount of crispy speck, a practice raising the comfort level to unknown heights. You might wanna add some oysters as a starter.",https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a85120f0393c7d:0xf13b4bab78def8b1,,
Hisar fresh food,,https://www.google.com/maps/place/Hisar+fresh+food/data=!4m2!3m1!1s0x47a85039e2a4afb3:0x6e53d89c0aba27bd,,
Hofbräu Wirtshaus Berlin,Beer,https://www.google.com/maps/place/Hofbr%C3%A4u+Wirtshaus+Berlin/data=!4m2!3m1!1s0x47a84e1e91407b03:0xdb4940eb3fc10d1d,,
,gr8 bfast place,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a851c396338e89:0x51a81b9655db733d,,
,Kebab!,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a85029195b7e73:0xa934dc3108889d2f,,
,Fried chicken,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a84fb3d3c366f3:0xcb2fe23a38c559d9,,
,Go for the currywurst with fries. Skip the bratwurst and the potato and pasta salads—you’re here for the real deal. Non-meat-eaters can opt for the vegan currywurst.,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a84dc2b38327e1:0x7e40a69c0f5afb,,
,Burritos,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a84e1e3207daf5:0x361f48f2cb931ba4,,
,Kebab/Donner,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a84e4a96e82fa3:0x68f27feaf7ff2119,,
,Köfte Sandwiches,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a84fc9fd8f1d07:0x60b363fe5d636466,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a84fa3e68330ff:0xd88ab2087a8e204c,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a851ff1dec4b0f:0x7199f1fd1c97a3eb,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a8510cc09b7e85:0xc5001a2083ab9b91,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a84e5edfbb9139:0x64d2319b3f19cf56,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a84e498056a6bd:0x9801fd632fa35512,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a850291fffa7c9:0x84f86b5c641fdb04,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x47a851f791a5b009:0x4a72eb64c620d406,,
