Title,Note,URL,Tags,Comment
,,,,
Caramen Tuan Phuc,,https://www.google.com/maps/place/Caramen+Tuan+Phuc/data=!4m2!3m1!1s0x3135ab00052e5fdf:0x54b383daf501afdd,,
Loading T café,,https://www.google.com/maps/place/Loading+T+caf%C3%A9/data=!4m2!3m1!1s0x3135abdb9ffc1219:0x97909dbd1492fbf6,,
Colette French Bistro & Wine Bar,,https://www.google.com/maps/place/Colette+French+Bistro+%26+Wine+Bar/data=!4m2!3m1!1s0x3135ab8cfecbab63:0x922df2f2ab9c6e47,,
La Badiane,,https://www.google.com/maps/place/La+Badiane/data=!4m2!3m1!1s0x3135ab97245c37e5:0xd96d58d68a619952,,
Tầm vị,,https://www.google.com/maps/place/T%E1%BA%A7m+v%E1%BB%8B/data=!4m2!3m1!1s0x3135ab69ebcf8dab:0x3bbee968f14bcc36,,
Miến Lươn cô Nhung,,https://www.google.com/maps/place/Mi%E1%BA%BFn+L%C6%B0%C6%A1n+c%C3%B4+Nhung/data=!4m2!3m1!1s0x3135abed482d0a3f:0x7f4192390064ed4e,,
Ut Coi crab noodle soup,,https://www.google.com/maps/place/Ut+Coi+crab+noodle+soup/data=!4m2!3m1!1s0x3135ab94fa22f253:0x1ab2d7d244da0e67,,
Phở xào Bà Thanh béo,,https://www.google.com/maps/place/Ph%E1%BB%9F+x%C3%A0o+B%C3%A0+Thanh+b%C3%A9o/data=!4m2!3m1!1s0x3135abc0aa6abddd:0x2131d5fdb17a75d3,,
Phở Sướng,,https://www.google.com/maps/place/Ph%E1%BB%9F+S%C6%B0%E1%BB%9Bng/data=!4m2!3m1!1s0x3135abbf7fc64821:0x2516078ba439535f,,
Ngoặm,,https://www.google.com/maps/place/Ngo%E1%BA%B7m/data=!4m2!3m1!1s0x3135ab8dc47cfd77:0x249e28c2c2dd046d,,
Quán Hải Sản Hương Lan,,https://www.google.com/maps/place/Qu%C3%A1n+H%E1%BA%A3i+S%E1%BA%A3n+H%C6%B0%C6%A1ng+Lan/data=!4m2!3m1!1s0x3135abb302bd96b5:0xfdd15c6d1d6ece32,,
Quán Ốc Dì Tú,,https://www.google.com/maps/place/Qu%C3%A1n+%E1%BB%90c+D%C3%AC+T%C3%BA/data=!4m2!3m1!1s0x3135abbaa5203963:0xe97709b6320a6911,,
Luk Lak Vietnamese Restaurant,,https://www.google.com/maps/place/Luk+Lak+Vietnamese+Restaurant/data=!4m2!3m1!1s0x3135abec3d107393:0x3e18292b974e206e,,
Bún Cá Sâm Cây Si,,https://www.google.com/maps/place/B%C3%BAn+C%C3%A1+S%C3%A2m+C%C3%A2y+Si/data=!4m2!3m1!1s0x3135ab00618ca2c5:0xdeb0603b33575a59,,
Vân Mít Bánh Mì,,https://www.google.com/maps/place/V%C3%A2n+M%C3%ADt+B%C3%A1nh+M%C3%AC/data=!4m2!3m1!1s0x3135abd45b6ef321:0x48a3ee801c624ef8,,
Ca Bop (Egg Coffee),,https://www.google.com/maps/place/Ca+Bop+(Egg+Coffee)/data=!4m2!3m1!1s0x3135abe89a849d99:0xaed2a06979034729,,
Cong Cafe – Nha Tho,,https://www.google.com/maps/place/Cong+Cafe+%E2%80%93+Nha+Tho/data=!4m2!3m1!1s0x3135ab7b2517a513:0x185016759948e539,,
Aunt Hue's snail noodle,,https://www.google.com/maps/place/Aunt+Hue's+snail+noodle/data=!4m2!3m1!1s0x3135ab0005bdbbcd:0xb62805c977b3b8c9,,
Bún riêu Cô Hoàn Hàng Lược,,https://www.google.com/maps/place/B%C3%BAn+ri%C3%AAu+C%C3%B4+Ho%C3%A0n+H%C3%A0ng+L%C6%B0%E1%BB%A3c/data=!4m2!3m1!1s0x3135abb9412bdd89:0xbba71d8e1be1e38c,,
Xôi Mây,,https://www.google.com/maps/place/X%C3%B4i+M%C3%A2y/data=!4m2!3m1!1s0x3135ab0032d3bc57:0xb214389e5f584598,,
Bánh cuốn gia truyền Thanh Vân,,https://www.google.com/maps/place/B%C3%A1nh+cu%E1%BB%91n+gia+truy%E1%BB%81n+Thanh+V%C3%A2n/data=!4m2!3m1!1s0x3135ab53cf65a0e1:0xf5a265ef8b52309a,,
