Title,Note,URL,Tags,Comment
,,,,
Sazanka,,https://www.google.com/maps/place/Sazanka/data=!4m2!3m1!1s0x355aa2692fe8bbb5:0x5a1c0c3ba35230a3,,
Shimada Suisan,"For a dining experience where you can enjoy oysters literally fresh off the boat, Shimada Fisheries is the place to go. A working oyster farm, visitors can grill their own oysters beside the fishing boats they arrived to shore on. Located a short distance from the ferry terminal to Miyajima island and easily reached from Hiroshima city, Shimada Fisheries Oyster Hut is a convenient stop after sightseeing on Miyajima. Menu choices vary from an hour-long all-you-can-eat grilled oysters option for ¥2,300 (£17) per person, to a set course priced at ¥2,000 (£15) including one kilogram of oysters, oyster rice, fried oysters and miso soup.",https://www.google.com/maps/place/Shimada+Suisan/data=!4m2!3m1!1s0x355abbb8b88c66fb:0x3daa12bb9d3178ae,,
Ekohiiki,"a casual seafood restaurant with an extensive oyster menu, in addition to other dishes such as sashimi, crab and octopus. On the oyster front, choose from a variety of options cooked any way you like – baked, steamed, fried or grilled – along with oyster curry and rice and oyster miso hotpot. Ekohiiki’s prices are very reasonable with most items on the oyster menu costing between ¥600 (£4.50) and ¥1,000 (£7.50) each. Pro tip: The restaurant also stocks a wide selection of sakes to try, brewed locally in Hiroshima.",https://www.google.com/maps/place/Ekohiiki/data=!4m2!3m1!1s0x355aa20d04b5f851:0x1acb95c1a744bd62,,
Lemon&OysterGarden SANGO,Arrive early,https://www.google.com/maps/place/Lemon%26OysterGarden+SANGO/data=!4m2!3m1!1s0x355aa200e46cabc5:0x71b4ba7df058269f,,
清ちゃん,,https://www.google.com/maps/place/%E6%B8%85%E3%81%A1%E3%82%83%E3%82%93/data=!4m2!3m1!1s0x355aa204144d29e1:0xb01b373b46352deb,,
Anagomeshi Ueno,,https://www.google.com/maps/place/Anagomeshi+Ueno/data=!4m2!3m1!1s0x355aa2067acb3dd7:0xf16b5a46234c035,,
株式会社かしはら,,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%8B%E3%81%97%E3%81%AF%E3%82%89/data=!4m2!3m1!1s0x355aa26435df8903:0x2a7b46381efba887,,
鍋焼らうめん ひさし 胡町店,,https://www.google.com/maps/place/%E9%8D%8B%E7%84%BC%E3%82%89%E3%81%86%E3%82%81%E3%82%93+%E3%81%B2%E3%81%95%E3%81%97+%E8%83%A1%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x355aa35a58ed0bd7:0x82962e0de13d1110,,
お好み焼き 越田 本店,,https://www.google.com/maps/place/%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D+%E8%B6%8A%E7%94%B0+%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x355aa20519fcd749:0xd5b78981e2ba1721,,
天ぷら あきちゃん,,https://www.google.com/maps/place/%E5%A4%A9%E3%81%B7%E3%82%89+%E3%81%82%E3%81%8D%E3%81%A1%E3%82%83%E3%82%93/data=!4m2!3m1!1s0x355aa2621ff1070d:0xfa6b68bbd524216d,,
ふくもと食堂,,https://www.google.com/maps/place/%E3%81%B5%E3%81%8F%E3%82%82%E3%81%A8%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x355aa262feaa815f:0xd92a04e4c691c330,,
日の出鮨 ありあけ,,https://www.google.com/maps/place/%E6%97%A5%E3%81%AE%E5%87%BA%E9%AE%A8+%E3%81%82%E3%82%8A%E3%81%82%E3%81%91/data=!4m2!3m1!1s0x355aa30f0d011a11:0x7ccfee8daa261101,,
スタンド ローキー,standing bar with cheap hiroshima food,https://www.google.com/maps/place/%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%89+%E3%83%AD%E3%83%BC%E3%82%AD%E3%83%BC/data=!4m2!3m1!1s0x355aa33f47993291:0x37d0e81412fb12fa,,
モントナイン,Oyster and super lemon drink,https://www.google.com/maps/place/%E3%83%A2%E3%83%B3%E3%83%88%E3%83%8A%E3%82%A4%E3%83%B3/data=!4m2!3m1!1s0x355aa37fce763b11:0x2bb76428b9d8ebbc,,
Nagataya,,https://www.google.com/maps/place/Nagataya/data=!4m2!3m1!1s0x355aa20d1ba3a539:0x54a7e2f3d14117e5,,
Lopez Okonomiyaki,,https://www.google.com/maps/place/Lopez+Okonomiyaki/data=!4m2!3m1!1s0x355a98a2c30a9c33:0xaf1de81654aa33f5,,
Taiko Udon Nakamachi Shop,,https://www.google.com/maps/place/Taiko+Udon+Nakamachi+Shop/data=!4m2!3m1!1s0x355aa20e1d8b3fc3:0xb0c7a100752ff451,,
㐂すけ kisuke,,https://www.google.com/maps/place/%E3%90%82%E3%81%99%E3%81%91+kisuke/data=!4m2!3m1!1s0x355aa390e4ee6221:0xff315cc6bbab7767,,
Ramen Youki,,https://www.google.com/maps/place/Ramen+Youki/data=!4m2!3m1!1s0x355aa308892775b9:0x3adaf913ac260e76,,
Okonomi mura Suigun,,https://www.google.com/maps/place/Okonomi+mura+Suigun/data=!4m2!3m1!1s0x355aa20f9d1e0bf3:0x13789370c4488ad6,,
