Title,Note,URL,Tags,Comment
,,,,
Man Kee Cart Noodle,,https://www.google.com/maps/place/Man+Kee+Cart+Noodle/data=!4m2!3m1!1s0x340400b4b122c27d:0x1769e1f18a859612,,
Mui Kee Congee,,https://www.google.com/maps/place/Mui+Kee+Congee/data=!4m2!3m1!1s0x340400c87d4ac055:0xb9394a5246b42717,,
Danish Bakery,,https://www.google.com/maps/place/Danish+Bakery/data=!4m2!3m1!1s0x34040053f01e61c3:0x282774e64d6ffc23,,
Master Low-key Food Shop,,https://www.google.com/maps/place/Master+Low-key+Food+Shop/data=!4m2!3m1!1s0x3404017850b90b4d:0xfbb3237c649c9d3,,
On Lee Noodle Soup,,https://www.google.com/maps/place/On+Lee+Noodle+Soup/data=!4m2!3m1!1s0x34040179019e660d:0x40d2a1461f33e67b,,
強記乳鴿1983,,https://www.google.com/maps/place/%E5%BC%B7%E8%A8%98%E4%B9%B3%E9%B4%BF1983/data=!4m2!3m1!1s0x3404078057aaaf59:0xc141db40a9718ad6,,
Chorland Cookfood Stall,,https://www.google.com/maps/place/Chorland+Cookfood+Stall/data=!4m2!3m1!1s0x340400d705a1c541:0x6fa8e00901750602,,
Grindie,,https://www.google.com/maps/place/Grindie/data=!4m2!3m1!1s0x34040121e5ae9c29:0x16f5ccff86846424,,
Hing Kee Restaurant,,https://www.google.com/maps/place/Hing+Kee+Restaurant/data=!4m2!3m1!1s0x340400c05733e8f3:0x6bd784ed56b0a43e,,
Lee Keung Kee North Point Egg Waffles,,https://www.google.com/maps/place/Lee+Keung+Kee+North+Point+Egg+Waffles/data=!4m2!3m1!1s0x340400ec745f171d:0x3a555630704fed9c,,
Yardbird,,https://www.google.com/maps/place/Yardbird/data=!4m2!3m1!1s0x3404007bfc5df893:0x59ddb7c0550b93e5,,
Keung Kee,,https://www.google.com/maps/place/Keung+Kee/data=!4m2!3m1!1s0x34040050abab64b7:0x8fce6ed9f53b92af,,
Wai Kee,,https://www.google.com/maps/place/Wai+Kee/data=!4m2!3m1!1s0x340400b4c87a5dad:0x7f0ff0f8aa491b83,,
GREAT BEEF HOTPOT,,https://www.google.com/maps/place/GREAT+BEEF+HOTPOT/data=!4m2!3m1!1s0x3404072ac09cdb8b:0xdcf3c2caee2378fd,,
Tak Fat Beef Ball,,https://www.google.com/maps/place/Tak+Fat+Beef+Ball/data=!4m2!3m1!1s0x340400f2847dfd57:0x6240475af246df6c,,
Min Jun,,https://www.google.com/maps/place/Min+Jun/data=!4m2!3m1!1s0x340401cc57960589:0x72e8dc40642464b4,,
Kai Kai Dessert,,https://www.google.com/maps/place/Kai+Kai+Dessert/data=!4m2!3m1!1s0x13ff465cfe3b1415:0xeed851ac7ed49514,,
Java Road Municipal Services Building,Tung Po,https://www.google.com/maps/place/Java+Road+Municipal+Services+Building/data=!4m2!3m1!1s0x34040104c5bed1ed:0xc0d156dded8fbee2,,
Kam's Roast Goose,,https://www.google.com/maps/place/Kam's+Roast+Goose/data=!4m2!3m1!1s0x3404005ba1a3cb7b:0x954356b5e53b3505,,
Mammy Pancake Jordan,"The Mammy Pancake stall in Tsim Sha Tsui is so small we almost missed it. I walked right past it and was clued in to its location only after getting a whiff of that heavenly batter.

They have multiple branches in Hong Kong and you can get a discount on their egg puffs if you purchase vouchers in advance through Klook.",https://www.google.com/maps/place/Mammy+Pancake+Jordan/data=!4m2!3m1!1s0x340400eb1b8a3771:0x86529812d8532645,,
Chin Sik,,https://www.google.com/maps/place/Chin+Sik/data=!4m2!3m1!1s0x3403f8ed6b78b815:0xc7b139347adc7b10,,
Block 18 Doggie's Noodle,,https://www.google.com/maps/place/Block+18+Doggie's+Noodle/data=!4m2!3m1!1s0x340400ee65acf1af:0xca2eba230fd228c,,
Fat Boy Shop,,https://www.google.com/maps/place/Fat+Boy+Shop/data=!4m2!3m1!1s0x340400ee79874ecb:0x1edf66aa3ec1ff29,,
Hop Yik Tai,,https://www.google.com/maps/place/Hop+Yik+Tai/data=!4m2!3m1!1s0x340400b37af466a3:0x3e9ed02065c1365,,
Bing Kee Cha Dong,bfast,https://www.google.com/maps/place/Bing+Kee+Cha+Dong/data=!4m2!3m1!1s0x340401ab45c1ad5d:0x1885489acb0739ad,,
Yee Shun Milk Company,,https://www.google.com/maps/place/Yee+Shun+Milk+Company/data=!4m2!3m1!1s0x34040056e7d18dc1:0xe5511393d1ce1d16,,
Kam Wah Cafe & Cake Shop,bolo bun,https://www.google.com/maps/place/Kam+Wah+Cafe+%26+Cake+Shop/data=!4m2!3m1!1s0x340400c84f755fc7:0x8be84595d44d5dcf,,
Sun Hang Yuen,bfast,https://www.google.com/maps/place/Sun+Hang+Yuen/data=!4m2!3m1!1s0x340400b464e5c5bb:0x5cc18c6a30fb73ca,,
Chan Kun Kee,,https://www.google.com/maps/place/Chan+Kun+Kee/data=!4m2!3m1!1s0x3404077027384a4b:0xea4c2a37bf150e8e,,
Yuk Kin Fast Food,,https://www.google.com/maps/place/Yuk+Kin+Fast+Food/data=!4m2!3m1!1s0x340400794b620d59:0xbd48fe145f94a92,,
Kwan Kee Bamboo Noodle,,https://www.google.com/maps/place/Kwan+Kee+Bamboo+Noodle/data=!4m2!3m1!1s0x3404074dbc7cbf83:0xf749675db573057f,,
Four Seasons Clay Pot Rice,,https://www.google.com/maps/place/Four+Seasons+Clay+Pot+Rice/data=!4m2!3m1!1s0x340400c0550a5d69:0x5576689cfc0f18e4,,
