Title,Note,URL,Tags,Comment
,,,,
Honke Daiichi-Asahi,,https://www.google.com/maps/place/Honke+Daiichi-Asahi/data=!4m2!3m1!1s0x600108b1f3db0001:0xa5ed2c875338968b,,
MACCHA HOUSE Kyoto Kawaramachi,Solid 7/10,https://www.google.com/maps/place/MACCHA+HOUSE+Kyoto+Kawaramachi/data=!4m2!3m1!1s0x60010895109d0281:0xadcb73412f1a11a5,,
Katsukatsu Tonton,,https://www.google.com/maps/place/Katsukatsu+Tonton/data=!4m2!3m1!1s0x6001086704c9a995:0x12f86bbac8cc50e6,,
Kyoudon Kisoba Okakita,,https://www.google.com/maps/place/Kyoudon+Kisoba+Okakita/data=!4m2!3m1!1s0x600108e40306386f:0xba6e7e108ad91746,,
Marumochiya,,https://www.google.com/maps/place/Marumochiya/data=!4m2!3m1!1s0x60010f4017d5123d:0x2602e351f24dbc88,,
Izuju Sushi,,https://www.google.com/maps/place/Izuju+Sushi/data=!4m2!3m1!1s0x600108c24ac775db:0x448b2da9a062fee3,,
Soba-no-Mi Yoshimura,,https://www.google.com/maps/place/Soba-no-Mi+Yoshimura/data=!4m2!3m1!1s0x600108a2e1aa6d8f:0xf02cc0c8f2f0f81,,
Katsukura - Kyoto Porta,,https://www.google.com/maps/place/Katsukura+-+Kyoto+Porta/data=!4m2!3m1!1s0x6001089985216c01:0x24e35cbd94df6306,,
Menkui Kinya,,https://www.google.com/maps/place/Menkui+Kinya/data=!4m2!3m1!1s0x600108c061e6a163:0x1cfd530606a34b3d,,
Fukakusa Ramen Toriton,,https://www.google.com/maps/place/Fukakusa+Ramen+Toriton/data=!4m2!3m1!1s0x60010f6b1cbfaaab:0xfd539044e2a23d0b,,
Mimikou,,https://www.google.com/maps/place/Mimikou/data=!4m2!3m1!1s0x600108c396a3ffff:0x43e16002c200f68c,,
Aburasoba Nekomata,,https://www.google.com/maps/place/Aburasoba+Nekomata/data=!4m2!3m1!1s0x600108c58a9ad905:0xd6214cda1595a19c,,
Ao Onigiri,,https://www.google.com/maps/place/Ao+Onigiri/data=!4m2!3m1!1s0x600109033eb577f9:0xf2b560ae3b291714,,
Men-ya Inoichi Hanare,,https://www.google.com/maps/place/Men-ya+Inoichi+Hanare/data=!4m2!3m1!1s0x60010897d87c1661:0x812e4a3fcbb81f03,,
Rairaitei - Jujo Takeda,,https://www.google.com/maps/place/Rairaitei+-+Jujo+Takeda/data=!4m2!3m1!1s0x60010f500322250b:0x1ebb1cfa3552ea36,,
Brulee,,https://www.google.com/maps/place/Brulee/data=!4m2!3m1!1s0x60010883810d0529:0xc85ada456233a394,,
Gion Komori,,https://www.google.com/maps/place/Gion+Komori/data=!4m2!3m1!1s0x600108ea46fd2a0d:0x9c6f11fa56390db3,,
Gyoza ChaoChao (Shijo-Kawaramachi Branch),,https://www.google.com/maps/place/Gyoza+ChaoChao+(Shijo-Kawaramachi+Branch)/data=!4m2!3m1!1s0x600108bfd8b2390d:0x26a0f5e31e03c4ae,,
JuicyMeat - Shijo Karasuma,,https://www.google.com/maps/place/JuicyMeat+-+Shijo+Karasuma/data=!4m2!3m1!1s0x60010907bc3ef3fd:0x794515c1cd4262ff,,
Hatoya Ryoyousha / 8108kyoto,,https://www.google.com/maps/place/Hatoya+Ryoyousha+%2F+8108kyoto/data=!4m2!3m1!1s0x600107b1520ee7b3:0xdcc723403cc0eb70,,
Sushi Kaneko,,https://www.google.com/maps/place/Sushi+Kaneko/data=!4m2!3m1!1s0x6001088dc98694a7:0xe50df1dfbfef4da,,
Moritaya - Kiyamachi,,https://www.google.com/maps/place/Moritaya+-+Kiyamachi/data=!4m2!3m1!1s0x600108eccb9daa8f:0xfc84e1f0b888131d,,
Kyogoku Kaneyo,,https://www.google.com/maps/place/Kyogoku+Kaneyo/data=!4m2!3m1!1s0x6001089397ad4159:0x7f3486e9783a343b,,
Chidoritei,,https://www.google.com/maps/place/Chidoritei/data=!4m2!3m1!1s0x600108c0600c3663:0x545e3cfbd3adcafb,,
