Title,Note,URL,Tags,Comment
,,,,
Oakridge Wines,,https://www.google.com/maps/place/Oakridge+Wines/data=!4m2!3m1!1s0x6ad7d5251fd3ced1:0xff15210a04f07ddb,,
Kitchen & Butcher,,https://www.google.com/maps/place/Kitchen+%26+Butcher/data=!4m2!3m1!1s0x6ad862240d55d663:0xf2bd3975e879eb06,,
Pho Hung Vuong 2,,https://www.google.com/maps/place/Pho+Hung+Vuong+2/data=!4m2!3m1!1s0x6ad642fb7b8a137b:0x7efdc4f76159db63,,
Serai,,https://www.google.com/maps/place/Serai/data=!4m2!3m1!1s0x6ad643b3f481dae5:0x776cc857407b7e6,,
The Stunned Mullet,,https://www.google.com/maps/place/The+Stunned+Mullet/data=!4m2!3m1!1s0x6ab0c4935f2c1983:0xedc190fc595f2a73,,
homeboy,,https://www.google.com/maps/place/homeboy/data=!4m2!3m1!1s0x6ab731b6e91c7605:0x66287fd636f18e66,,
Starward Distillery & Bar,,https://www.google.com/maps/place/Starward+Distillery+%26+Bar/data=!4m2!3m1!1s0x6ad65bf3128dcb93:0x9109bea5dc638f9b,,
Kōri Ice Cream CBD,,https://www.google.com/maps/place/K%C5%8Dri+Ice+Cream+CBD/data=!4m2!3m1!1s0x6ad6430038c344b1:0x756e337f3c35e5f,,
Bounty of the Sun,,https://www.google.com/maps/place/Bounty+of+the+Sun/data=!4m2!3m1!1s0x6ad669a26470e915:0xa23103cb562eaea5,,
PIZZA MONSTER,,https://www.google.com/maps/place/PIZZA+MONSTER/data=!4m2!3m1!1s0x6ad65dd37c147897:0xf5a8b165ddeba5a9,,
ST. ALi Coffee Roasters - South Melbourne,,https://www.google.com/maps/place/ST.+ALi+Coffee+Roasters+-+South+Melbourne/data=!4m2!3m1!1s0x6ad667ffe8d29627:0x5037edb8dc94bec7,,
Candied Bakery,,https://www.google.com/maps/place/Candied+Bakery/data=!4m2!3m1!1s0x6ad6673a69d7076f:0xab2d08cbabe30e54,,
Nhu Lan Bakery,banh mi,https://www.google.com/maps/place/Nhu+Lan+Bakery/data=!4m2!3m1!1s0x6ad65d91ed13faeb:0x7fc824b57a90fa7c,,
Juicy Bao,,https://www.google.com/maps/place/Juicy+Bao/data=!4m2!3m1!1s0x6ad642c986c98dfd:0x5c57c46632d25a68,,
ShanDong MaMa Mini,fried fish dumpling,https://www.google.com/maps/place/ShanDong+MaMa+Mini/data=!4m2!3m1!1s0x6ad642b43c2a0fd3:0x4af5d50fe1372980,,
Nico's Sandwich Deli,,https://www.google.com/maps/place/Nico's+Sandwich+Deli/data=!4m2!3m1!1s0x6ad64358b0c2e605:0x56d2c8bce809ce21,,
Nico's Sandwich Deli,,https://www.google.com/maps/place/Nico's+Sandwich+Deli/data=!4m2!3m1!1s0x6ad65ddd0e5d1bf7:0x19a27f9e3b300a31,,
Komur,,https://www.google.com/maps/place/Komur/data=!4m2!3m1!1s0x6ad65d406a77a77d:0x94bfcd34e6b50c23,,
Pidapipó Carlton,,https://www.google.com/maps/place/Pidapip%C3%B3+Carlton/data=!4m2!3m1!1s0x6ad642d69b7f0d53:0x2e6ac953a4e22d74,,
Ca Com Bánh Mì Bar,,https://www.google.com/maps/place/Ca+Com+B%C3%A1nh+M%C3%AC+Bar/data=!4m2!3m1!1s0x6ad6432f428cf85b:0x6a55b0c88d4613b0,,
Pipis Kiosk,,https://www.google.com/maps/place/Pipis+Kiosk/data=!4m2!3m1!1s0x6ad667bf13dbe77d:0x728a77c4937d64f,,
Hector's Deli,,https://www.google.com/maps/place/Hector's+Deli/data=!4m2!3m1!1s0x6ad667ea3a34fc67:0x20486740a6d687c9,,
Lune Croissanterie CBD City,,https://www.google.com/maps/place/Lune+Croissanterie+CBD+City/data=!4m2!3m1!1s0x6ad643d9584cad4f:0x6420e780b528906c,,
