Title,Note,URL,Tags,Comment
,,,,
Schlemmermeyer GmbH & Co. KG,!!! Krustenbraten bun,https://www.google.com/maps/place/Schlemmermeyer+GmbH+%26+Co.+KG/data=!4m2!3m1!1s0x479e758aed8ace63:0x299b355a0e5ce513,,
Andy's Krablergarten,"!!! Andy's Krablergarten is known for their schnitzel, and they serve it up in a huge way. The cutlets are made from pork, and they are big and fried fresh. I tried a Hamburg schnitzel with eggs and a Munich style schnitzel with horseradish in the breading. It was fantastic.",https://www.google.com/maps/place/Andy's+Krablergarten/data=!4m2!3m1!1s0x479ddf5ed298e06b:0x3513b09018597a80,,
Gaststätte Bergwolf,"!!! Bergwolf is a German fast food restaurant in Munich, and their speciality is currywurst, a plate of sausage topped in sauce and fries. It’s not the healthiest of all German dishes, but it sure tastes pretty amazing - one of those 3 am kind of dishes.",https://www.google.com/maps/place/Gastst%C3%A4tte+Bergwolf/data=!4m2!3m1!1s0x479ddf60b10d6747:0xeb9ee4b809ddab2b,,
Schmalznudel - Cafe Frischhut,"This is a legendary cafe in Munich, known for serving schmalznudel, a savory type of German donut.",https://www.google.com/maps/place/Schmalznudel+-+Cafe+Frischhut/data=!4m2!3m1!1s0x479e758aa9bc41c1:0x1547f2a8b29ddd1e,,
Andechs Monastery,hiking + beer garden,https://www.google.com/maps/place/Andechs+Monastery/data=!4m2!3m1!1s0x479dcd271389f2e5:0xd2ea407a508af1ac,,
Viktualienmarkt,"!!! This is one of the best German street food markets in Munich, with plenty of street food stalls to choose from. I tried a classic Bavarian white sausage and pretzel (Weisswurst 5.90 EUR) and leberkässemmel, which is a classic meat loaf sandwich (2.99 EUR). Viktualienmarkt Munich is one of the best places to visit as a food lover in Munich, Germany.

Leberkaese, Bratwurst, Krustenbraten, Nuernberger Rostbratwurst at delicatessen.

a quick bite at Schlemmermeyer, a popular delicatessen at Viktualienmarkt for a typical German Bratwurst. Situated right at the famous Viktualienmark, Schlemmermeyer offers the best regional delicacies. The fresh sausages (including red, brown, and white sausage varieties and bratwurst) are grilled up and ready to go as well as a few other items like sodas and pork sandwiches.",https://www.google.com/maps/place/Viktualienmarkt/data=!4m2!3m1!1s0x479e758a914ad7df:0x109a5421ac6bd83,,
Hofbräuhaus München,"!!! If you ask where to eat in Munich, this will no doubt be the number one suggestion, it’s an institution in Munich. It really is an amazing culinary piece of history, a giant beer and food hall where you can eat and drink and fully embrace German food and culture.

Pork knuckle, beef soup with dumplings, schnitzel and Weiss beer.",https://www.google.com/maps/place/Hofbr%C3%A4uhaus+M%C3%BCnchen/data=!4m2!3m1!1s0x479e758bcf52fcc5:0xa9c170edcdbd1a2f,,
Augustiner Stammhaus,Traditional Bavarian Cuisin,https://www.google.com/maps/place/Augustiner+Stammhaus/data=!4m2!3m1!1s0x479e7601b426f649:0x8835d665d92b0aa6,,
Andechser am Dom,"!!! This is a nice German food restaurant, located on the side of Munich Frauenkirche, a  major landmark in the heart of Munich. They serve a variety of traditional German Bavarian cuisine. My favorite dish was the mixed sausage plate, but the leberkäse was also good.",https://www.google.com/maps/place/Andechser+am+Dom/data=!4m2!3m1!1s0x479e756bbebd1df5:0xe1813a8c986ea73,,
Biergarten am Chinesischen Turm,!!! all beer gardens in Munich,https://www.google.com/maps/place/Biergarten+am+Chinesischen+Turm/data=!4m2!3m1!1s0x479e7597c1b7c3c7:0xe3c8848c9a7a2f5c,,
Augustiner Drei Mühlen,schnitzel,https://www.google.com/maps/place/Augustiner+Drei+M%C3%BChlen/data=!4m2!3m1!1s0x479ddf46795c3019:0x544bd1172a3017ac,,
Wirtshaus in der Au,germany dumplings,https://www.google.com/maps/place/Wirtshaus+in+der+Au/data=!4m2!3m1!1s0x479ddf7c987782d9:0x49df88b233dfc267,,
Hofbräukeller,beer and pretzels,https://www.google.com/maps/place/Hofbr%C3%A4ukeller/data=!4m2!3m1!1s0x479e7580eb22dcdb:0x6e526f9c46329547,,
Augustiner Bräustuben,"Augustiner Bräustuben is a classic German brewery and restaurant in Munich, Germany. You’ll find some very classic Bavarian dishes on their menu and a good selection of beer.",https://www.google.com/maps/place/Augustiner+Br%C3%A4ustuben/data=!4m2!3m1!1s0x410901f24f8d0417:0x1a2efa2cb8130a2a,,
