Title,Note,URL,Tags,Comment
,,,,
Il ristorantino di Bayon,!!! Seafood,https://www.google.com/maps/place/Il+ristorantino+di+Bayon/data=!4m2!3m1!1s0x12d4fc9987cb1613:0x9ac42d05473b7fc,,
Vicolo Intherno,quality traditional Italian food with a Ligurian accent,https://www.google.com/maps/place/Vicolo+Intherno/data=!4m2!3m1!1s0x12d4fc99382fca29:0x281544970f3170d3,,
Osteria all'Inferno dal 1905,a simple good meal,https://www.google.com/maps/place/Osteria+all'Inferno+dal+1905/data=!4m2!3m1!1s0x12d4e3b87945b933:0xb93141b0dd581b4b,,
La Pia Centenaria,"this precis on snacks:
Farinata. This is a famous must-try specialty. It's a chickpea flour pancake that's nutty, smooth, crunchy on the edges, creamy in the middle, about ¼ inch thick, and just delicious. It's gluten free, but not gluttony free.
Focaccia. This is indigenous to Liguria, and here it comes in many forms, shapes and sizes, and is always interesting. Try it at La Pia, and then try it again at the next place. Here, you can also ask for foccacia stuffed with farinata, odd sounding but great, and an authentic twist.
Torta di Verdura. Ligurians love vegetables, and slices of these pies are a favorite snack. They are bound with egg and cheese and filled with any variety of veggies and greens. They're offered at La Pia sold by weight.",https://www.google.com/maps/place/La+Pia+Centenaria/data=!4m2!3m1!1s0x12d4fc997369d1b5:0xb8cecd1f769c62e9,,
Il Pirata delle 5 Terre,!!! Seafood,https://www.google.com/maps/place/Il+Pirata+delle+5+Terre/data=!4m2!3m1!1s0x12d4f02979a23709:0xeb6656b57bd9b494,,
Alberto Gelateria,,https://www.google.com/maps/place/Alberto+Gelateria/data=!4m2!3m1!1s0x12d4f01304ca9853:0xc973c6e37b2000b7,,
Trattoria dal Billy,"pricey - You’ll need a reservation and some good walking shoes to get into this Manarola restaurant. The seafood starter appetizer is an absolute must, with 12 different small plates of fresh, uniquely-prepared seafood specialties, both hot and cold. The handmade taglierini pasta is life-changing and served with shrimp, peppers, fresh tomatoes, and pine nuts.",https://www.google.com/maps/place/Trattoria+dal+Billy/data=!4m2!3m1!1s0x12d4fa9af3269d6d:0xd3b5cc334f26fb6e,,
Ristorante Ciak,Menu highlights here are the homemade gnocchi with pesto and seafood spaghetti or “spaghetti ciak”,https://www.google.com/maps/place/Ristorante+Ciak/data=!4m2!3m1!1s0x12d4ee18c80ea039:0x193466839e0e4c0e,,
Il Frantoio,Focaccia,https://www.google.com/maps/place/Il+Frantoio/data=!4m2!3m1!1s0x12d4ee1894d1fc23:0x97d2482df5e0a5f4,,
Il Massimo della Focaccia,Focaccia,https://www.google.com/maps/place/Il+Massimo+della+Focaccia/data=!4m2!3m1!1s0x12d4ee1c44d1c3c1:0x718e0bc7d771fa57,,
Gelateria Vernazza,,https://www.google.com/maps/place/Gelateria+Vernazza/data=!4m2!3m1!1s0x12d4f02bf6d049dd:0xdd34afdb6d3d2814,,
San Martino Gastronomia,!!! Lasagne,https://www.google.com/maps/place/San+Martino+Gastronomia/data=!4m2!3m1!1s0x12d4ee18c47ff53d:0x5de56216d064ebed,,
Ristorante Belvedere,!!! Seafood stew 1 hour waiting time,https://www.google.com/maps/place/Ristorante+Belvedere/data=!4m2!3m1!1s0x12d4ee18b2d3fcaf:0x7f22772d2db0673b,,
Gelateria Yogurteria Il Golosone,Gelato,https://www.google.com/maps/place/Gelateria+Yogurteria+Il+Golosone/data=!4m2!3m1!1s0x12d4ee18c02823df:0x756f9237ca9ba559,,
Miky,pricy - try the risotto,https://www.google.com/maps/place/Miky/data=!4m2!3m1!1s0x12d4ee1cdae8ae2d:0x27896444a2b0de72,,
Bio Lino Caffè,coffee + pastries,https://www.google.com/maps/place/Bio+Lino+Caff%C3%A8/data=!4m2!3m1!1s0x12d51edd12436305:0x78c553b392ee7167,,
La Nuova Spezia,Seafood (Cheap and good),https://www.google.com/maps/place/La+Nuova+Spezia/data=!4m2!3m1!1s0x12d4fc9bf3e18921:0x27302d1aa04cf654,,
Il Pescato Cucinato,Fried seafood,https://www.google.com/maps/place/Il+Pescato+Cucinato/data=!4m2!3m1!1s0x12d4fa890b6855cb:0x2859644ff6463911,,
Nessun Dorma,Good food and view Mozzarella ball,https://www.google.com/maps/place/Nessun+Dorma/data=!4m2!3m1!1s0x12d4fa9d2a0c8e57:0xfcf16b6b8e1b1e28,,
La Regina di Manarola,Cocktails w views,https://www.google.com/maps/place/La+Regina+di+Manarola/data=!4m2!3m1!1s0x12d4fb1e1676b4b3:0x69099b8d2aac4b2d,,
