Title,Note,URL,Tags,Comment
,,,,
Aunglo by Yangrak อั้งโล่ บาย ย่างแรก,,https://www.google.com/maps/place/Aunglo+by+Yangrak+%E0%B8%AD%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B9%82%E0%B8%A5%E0%B9%88+%E0%B8%9A%E0%B8%B2%E0%B8%A2+%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%81/data=!4m2!3m1!1s0x30e2996980abb9c9:0xd5e69d934fcf4dac,,
Jeh O Chula,book on klook to avoid the 2h + queue,https://www.google.com/maps/place/Jeh+O+Chula/data=!4m2!3m1!1s0x30e2992eeb145315:0xd37af0e1dfbbcd7c,,
Nhong Rim Klong,Crab in omelette ,https://www.google.com/maps/place/Nhong+Rim+Klong/data=!4m2!3m1!1s0x30e29f72cd85f66b:0x1b91d2763b6a91bd,,
Fikeaw Yaowarat,Seafood,https://www.google.com/maps/place/Fikeaw+Yaowarat/data=!4m2!3m1!1s0x1110303b53939677:0x896b38e7977847c5,,
Tang Sui Heng Restaurant,Duck noodles,https://www.google.com/maps/place/Tang+Sui+Heng+Restaurant/data=!4m2!3m1!1s0x30e29929d8d4dab7:0xa56ec46cf5ccef1e,,
Prachak Roasted Duck,,https://www.google.com/maps/place/Prachak+Roasted+Duck/data=!4m2!3m1!1s0x30e298c5ae7f1d55:0xb3b1bf2284911ad0,,
Tia Nguan Hiang,,https://www.google.com/maps/place/Tia+Nguan+Hiang/data=!4m2!3m1!1s0x30e298c5b1e7a9f9:0xc18f7745d53f2fe0,,
Huamum Market,,https://www.google.com/maps/place/Huamum+Market/data=!4m2!3m1!1s0x311d63a43a6599d9:0x1a5dca44aea0afbe,,
Srinagarindra Train Night Market,,https://www.google.com/maps/place/Srinagarindra+Train+Night+Market/data=!4m2!3m1!1s0x311d60702ccc800d:0xbcf75e2906d1c09b,,
Teens of Thailand,,https://www.google.com/maps/place/Teens+of+Thailand/data=!4m2!3m1!1s0x30e29926be6c2047:0x1284b4ea344fbf8f,,
TEP BAR - Cultural Bar of Thailand,live local Thai music and lots of thais,https://www.google.com/maps/place/TEP+BAR+-+Cultural+Bar+of+Thailand/data=!4m2!3m1!1s0x30e2992694b4ecbb:0xc79c782c19aca459,,
