Title,Note,URL,Tags,Comment
,,,,
Xurreria Laietana,,https://www.google.com/maps/place/Xurreria+Laietana/data=!4m2!3m1!1s0x12a4a2fa17bfe9c3:0xe713f1f7ce962a33,,
Gelaaati Di Marco,,https://www.google.com/maps/place/Gelaaati+Di+Marco/data=!4m2!3m1!1s0x12a4a2f8fdfd4c99:0xc8c2fd326a05ddb0,,
DeLaCrem,,https://www.google.com/maps/place/DeLaCrem/data=!4m2!3m1!1s0x12a4a28c512e33dd:0x5937a8881694af,,
Bar Celta Pulperia,"(eat baby squid - called chipirones, and try padron peppers)",https://www.google.com/maps/place/Bar+Celta+Pulperia/data=!4m2!3m1!1s0x12a4a255ef8b1881:0x50d2af8c517b349e,,
Can Vilaró,"Bfast - a bowl of gazpacho, a cold and refreshing tomato and vegetable soup. One of the main dishes I ordered was cap i pota, a Spanish Catalan dish of trip and other organs in kind of like a stew. Finally, seeing some roasted lamb cheeks, I decided to try a few of those as well.",https://www.google.com/maps/place/Can+Vilar%C3%B3/data=!4m2!3m1!1s0x12a4a26104d9c627:0xc56b517f4595d897,,
La Xampanyeria,!!! delicious butifarra sandwich and also a pork loin and cheese sandwhich - all knocked back with their famous cava,https://www.google.com/maps/place/La+Xampanyeria/data=!4m2!3m1!1s0x12a4a2ffe9fe5b23:0xc8516ba7d49ce64d,,
La Paradeta Sants,squid ink and octopus,https://www.google.com/maps/place/La+Paradeta+Sants/data=!4m2!3m1!1s0x12a4993692cb1e6f:0xca2581f190416f22,,
Xarcuteria La Pineda,"!!! for vermouth and a selection of potato chips with Espinaler sauce, cheeses and salt-cured anchovies",https://www.google.com/maps/place/Xarcuteria+La+Pineda/data=!4m2!3m1!1s0x12a4a2f77abf6e5f:0x1ea8e6fa8177fbc9,,
La Plata,butifarra sausage,https://www.google.com/maps/place/La+Plata/data=!4m2!3m1!1s0x12a4a255f4d78393:0x3c5fb0a311a317e0,,
Bar del Pla,"Must reserve! 

Pan Con tomate + steamed mussels in sauce + letuce hearts with romesco",https://www.google.com/maps/place/Bar+del+Pla/data=!4m2!3m1!1s0x12a4a2fea7f11297:0xfb502fb6497f2c34,,
El Chigre 1769,"Boquerones en vinagre -  fresh anchovies
cider",https://www.google.com/maps/place/El+Chigre+1769/data=!4m2!3m1!1s0x12a4a2fef50d47c7:0xc4be819101d3f1be,,
Bodega La Puntual,patatas bravas,https://www.google.com/maps/place/Bodega+La+Puntual/data=!4m2!3m1!1s0x12a4a2fe8af9698f:0x25853724e15c7372,,
Bodega Maestrazgo,jamon ham,https://www.google.com/maps/place/Bodega+Maestrazgo/data=!4m2!3m1!1s0x12a4a2fb7cdfd359:0x96249ed2247a7759,,
La Cova Fumada,"for a bomba (it was invented here!), grilled squid and grilled sardines",https://www.google.com/maps/place/La+Cova+Fumada/data=!4m2!3m1!1s0x12a4a3a9f558d1bd:0xadaca47d1531e755,,
La Campana,delicious turrón and horchata,https://www.google.com/maps/place/La+Campana/data=!4m2!3m1!1s0x12a49882444aee1b:0x2ed2b8c4ad0299e5,,
Santa Caterina Market,"We visit Bar Joan for a fry-up breakfast and cava and Antonio Iberics for a fantastic selection of cured meats. Plus, we visit a stall for delicious escalivada.",https://www.google.com/maps/place/Santa+Caterina+Market/data=!4m2!3m1!1s0x12a4a2fbc2fc3cc9:0xcf4dd50cc18b657e,,
Can Ramonet,a delicious seafood fideuá and drinking from the porrón!,https://www.google.com/maps/place/Can+Ramonet/data=!4m2!3m1!1s0x12a4a300aea7be49:0x83a47d87e976dcc,,
Bodega La Palma,patatas bravas,https://www.google.com/maps/place/Bodega+La+Palma/data=!4m2!3m1!1s0x12a4a2f8c5ec6235:0x6eb839337ce31765,,
Pastisseria Hofmann,insane marscapone croissant,https://www.google.com/maps/place/Pastisseria+Hofmann/data=!4m2!3m1!1s0x12a4a2fe71a34223:0xcf83a8c131c62152,,
Casa Gispert,"a selection of wood-roasted almonds, and chocolate treats",https://www.google.com/maps/place/Casa+Gispert/data=!4m2!3m1!1s0x12a4a2fe5f3f92e3:0xe3bf390baec5a99a,,
Granja Dulcinea,incredible suizo (chocolate and cream!),https://www.google.com/maps/place/Granja+Dulcinea/data=!4m2!3m1!1s0x12a4a2f84104aeed:0x5bfe8ca3e9816c56,,
