Title,Note,URL,Tags,Comment
,,,,
Ditta Artigianale,coffee tiramisu,https://www.google.com/maps/place/Ditta+Artigianale/data=!4m2!3m1!1s0x132a54074ef231fb:0x18e867209c2c0eec,,
Gelateria La Carraia in Santa Croce,,https://www.google.com/maps/place/Gelateria+La+Carraia+in+Santa+Croce/data=!4m2!3m1!1s0x132a54070f3f4527:0x3339a792a8f8adeb,,
Perché no!...,,https://www.google.com/maps/place/Perch%C3%A9+no!.../data=!4m2!3m1!1s0x132a5401095c9e4d:0x57ff10322c7ee6fc,,
Trattoria dall'Oste Chianineria,Beef steak!,https://www.google.com/maps/place/Trattoria+dall'Oste+Chianineria/data=!4m2!3m1!1s0x132a54016c1441a3:0xa737d39cecf8fc1e,,
Trattoria Mario,"!!! Steak + Ribollita (soup)

Lunch time needs to reserve",https://www.google.com/maps/place/Trattoria+Mario/data=!4m2!3m1!1s0x132a5402d0f28403:0xeda5a5dd39075e37,,
Trattoria Sergio Gozzi,"!!! Need to reserve, opens at 12

Beef stew thingy",https://www.google.com/maps/place/Trattoria+Sergio+Gozzi/data=!4m2!3m1!1s0x132a5402ff9bffe9:0x65112528b7990c5e,,
Gelateria dei Neri,Gelato,https://www.google.com/maps/place/Gelateria+dei+Neri/data=!4m2!3m1!1s0x132a54074cd0d53b:0x4d9a35023cb28f32,,
All’Antico Vinaio,!!! Panini,https://www.google.com/maps/place/All%E2%80%99Antico+Vinaio/data=!4m2!3m1!1s0x132a5400b0e2527b:0x5bc2ab159f2707f6,,
Panini Toscani,Panini,https://www.google.com/maps/place/Panini+Toscani/data=!4m2!3m1!1s0x132a5403f3769127:0x5c1d33707e1f0f62,,
Da Nerbone,!!! Beef stomach sandwich (BFAST),https://www.google.com/maps/place/Da+Nerbone/data=!4m2!3m1!1s0x132a5402c7c97675:0xd445e8772ff54b4f,,
