Title,Note,URL,Tags,Comment
,,,,
Pipers of Penola,,https://www.google.com/maps/place/Pipers+of+Penola/data=!4m2!3m1!1s0x6acb1a9b11dbf995:0x9356ef8966dad606,,
Ottelia,,https://www.google.com/maps/place/Ottelia/data=!4m2!3m1!1s0x2f5583e613c819:0xa5cbd03fcf7cdf99,,
Red Shack Cafe,,https://www.google.com/maps/place/Red+Shack+Cafe/data=!4m2!3m1!1s0x6acb1b0027961f25:0xae4e4246ae01fd42,,
Cafe Lito,,https://www.google.com/maps/place/Cafe+Lito/data=!4m2!3m1!1s0x6acb1a9af86b0cdb:0x19fe8560684770d8,,
Royal Oak Hotel Penola,,https://www.google.com/maps/place/Royal+Oak+Hotel+Penola/data=!4m2!3m1!1s0x6acb1b0882ffae5d:0xc53640dec4398ed8,,
Windara Bakery,,https://www.google.com/maps/place/Windara+Bakery/data=!4m2!3m1!1s0x6acb1a9ae4bc06fb:0x7420831755d300f0,,
Cheese World and Museum,,https://www.google.com/maps/place/Cheese+World+and+Museum/data=!4m2!3m1!1s0x6acd56a576ed0a43:0xe09f2b251ba0ee82,,
Port Campbell Ice Cream,,https://www.google.com/maps/place/Port+Campbell+Ice+Cream/data=!4m2!3m1!1s0xaa82a1d4452562ff:0x45c26f7ce2d70bcb,,
Frying Nemo,,https://www.google.com/maps/place/Frying+Nemo/data=!4m2!3m1!1s0xaa82a062ce595c15:0x585937987e2f6b69,,
REAL Pizza Pasta Salads,,https://www.google.com/maps/place/REAL+Pizza+Pasta+Salads/data=!4m2!3m1!1s0xaa82a104fb8899cd:0x6dc9a5fa74fe66c6,,
"Waves Cafe, Bar and Restaurant",,"https://www.google.com/maps/place/Waves+Cafe,+Bar+and+Restaurant/data=!4m2!3m1!1s0xaa82a062b4bd146f:0x16802effa3c3de3e",,
12 Rocks Beach Bar Cafe,,https://www.google.com/maps/place/12+Rocks+Beach+Bar+Cafe/data=!4m2!3m1!1s0xaa82a062befe1545:0xb2e8b1c424fade3d,,
Bellbrae Estate,,https://www.google.com/maps/place/Bellbrae+Estate/data=!4m2!3m1!1s0x6ad4654d6d2f1e2d:0x51a88aec7d84184,,
The Bottle of Milk,,https://www.google.com/maps/place/The+Bottle+of+Milk/data=!4m2!3m1!1s0x6ad364c7410984ff:0xbe8da150157500af,,
Fish By Moonlite,,https://www.google.com/maps/place/Fish+By+Moonlite/data=!4m2!3m1!1s0x6ad47deb02876e7b:0xd717f0cfce767d49,,
