Title,Note,URL,Tags,Comment
,,,,
Cafè Terrace Orange,,https://www.google.com/maps/place/Caf%C3%A8+Terrace+Orange/data=!4m2!3m1!1s0x6004f8c0892af83d:0x229ecb8be2c891cc,,
Nishikiya Restaurant,,https://www.google.com/maps/place/Nishikiya+Restaurant/data=!4m2!3m1!1s0x6004f8c065da3c4d:0x362bfd98c19c6109,,
たこ焼き わらい屋,,https://www.google.com/maps/place/%E3%81%9F%E3%81%93%E7%84%BC%E3%81%8D+%E3%82%8F%E3%82%89%E3%81%84%E5%B1%8B/data=!4m2!3m1!1s0x6004f9b1cbeb59d3:0xbcfb5da4ad9362d7,,
Toba Marché,,https://www.google.com/maps/place/Toba+March%C3%A9/data=!4m2!3m1!1s0x6004f892cdbfd1cf:0x76ff165f29635361,,
Ama-goya Chisato,,https://www.google.com/maps/place/Ama-goya+Chisato/data=!4m2!3m1!1s0x6004f89326d84d67:0x3199ecabf3c66530,,
Moto oyster farm,,https://www.google.com/maps/place/Moto+oyster+farm/data=!4m2!3m1!1s0x6004fe623bd432eb:0xd7d5419334f56c1c,,
Iwashitei,,https://www.google.com/maps/place/Iwashitei/data=!4m2!3m1!1s0x6004f89330d0440d:0x7c69df478aa2546b,,
The Kaiya,,https://www.google.com/maps/place/The+Kaiya/data=!4m2!3m1!1s0x6004f89326d84d67:0xa370d92e2f210fa8,,
Sazanami Toba,,https://www.google.com/maps/place/Sazanami+Toba/data=!4m2!3m1!1s0x60045a685f9a03eb:0x1df8ab2176d306f6,,
Wadakin Sukiyaki,,https://www.google.com/maps/place/Wadakin+Sukiyaki/data=!4m2!3m1!1s0x60046b20b6f03333:0x2927cc0d92316896,,
Isshobin Yakiniku,,https://www.google.com/maps/place/Isshobin+Yakiniku/data=!4m2!3m1!1s0x60046add246d43d7:0x9f23bef3ca021671,,
Udon-ya Fukusuke,,https://www.google.com/maps/place/Udon-ya+Fukusuke/data=!4m2!3m1!1s0x600450ecb1c86be1:0x79e40ca6a375fe82,,
"Ama Hut ""Hachiman Kamado""",,https://www.google.com/maps/place/Ama+Hut+%22Hachiman+Kamado%22/data=!4m2!3m1!1s0x6005018928c4908b:0x5be5fcfac0320153,,
