Title,Note,URL,Tags,Comment
,,,,
Ramen Wakadaisho,,https://www.google.com/maps/place/Ramen+Wakadaisho/data=!4m2!3m1!1s0x5ff833746e45c98f:0xd3b55250331520e1,,
Iyasaka,,https://www.google.com/maps/place/Iyasaka/data=!4m2!3m1!1s0x5ff8337fb26fd7ab:0x2fb3499ba8cd9704,,
Shirom Creperie,,https://www.google.com/maps/place/Shirom+Creperie/data=!4m2!3m1!1s0x5ff8338c1899f4b3:0x1d47ec2df963d40c,,
Mori Mori Sushi Omicho,,https://www.google.com/maps/place/Mori+Mori+Sushi+Omicho/data=!4m2!3m1!1s0x5ff833703796d087:0x17b025905226d7b2,,
Itaru Honten,,https://www.google.com/maps/place/Itaru+Honten/data=!4m2!3m1!1s0x5ff833808f62471f:0x9684c07914b4d55f,,
Takasakiya Sushi,,https://www.google.com/maps/place/Takasakiya+Sushi/data=!4m2!3m1!1s0x5ff8337a8c2468d5:0x207690d0869a2db7,,
Shogyotei,,https://www.google.com/maps/place/Shogyotei/data=!4m2!3m1!1s0x5ff83375703ab7cd:0x58382a762c23f047,,
Grill Otsuka,,https://www.google.com/maps/place/Grill+Otsuka/data=!4m2!3m1!1s0x5ff8348006bdbbb3:0xfce476823513c287,,
Hakuichi Higashiyama,,https://www.google.com/maps/place/Hakuichi+Higashiyama/data=!4m2!3m1!1s0x5ff83374971464d7:0x70f11d77388c67f,,
Amatsubo Kakinokibatake,,https://www.google.com/maps/place/Amatsubo+Kakinokibatake/data=!4m2!3m1!1s0x5ff833809b54004b:0xe0a3193320ca3514,,
Ōmichō Market,,https://www.google.com/maps/place/%C5%8Cmich%C5%8D+Market/data=!4m2!3m1!1s0x5ff83370f7d313d3:0xbff4287c6ca534a5,,
Champion's Curry Omicho,,https://www.google.com/maps/place/Champion's+Curry+Omicho/data=!4m2!3m1!1s0x5ff833703796d087:0x8c55a7d118eb01aa,,
