Title,Note,URL,Tags,Comment
,,,,
La Casa del Abuelo,"Amazing garlic prawns, cooked right before your eyes!",https://www.google.com/maps/place/La+Casa+del+Abuelo/data=!4m2!3m1!1s0xd422922d603ffbd:0xfbef24646ca74554,,
La Taberna Sanlúcar,Fish egg,https://www.google.com/maps/place/La+Taberna+Sanl%C3%BAcar/data=!4m2!3m1!1s0xd4227d8272ce5e1:0x990a158e6abed311,,
Chocolat Madrid,!!! best churros,https://www.google.com/maps/place/Chocolat+Madrid/data=!4m2!3m1!1s0xd422629e2df93b9:0x2b68ce6bbc6a636a,,
Chocolatería San Ginés,!!! best churros,https://www.google.com/maps/place/Chocolater%C3%ADa+San+Gin%C3%A9s/data=!4m2!3m1!1s0xd42287ebe5ee41d:0x6895d6342c12c3d5,,
Chocolatería Valor,best churros,https://www.google.com/maps/place/Chocolater%C3%ADa+Valor/data=!4m2!3m1!1s0xd42287c47dc921d:0x8bc324c3353c693d,,
Old Churrería,best churros,https://www.google.com/maps/place/Old+Churrer%C3%ADa/data=!4m2!3m1!1s0xd4229000b23718f:0x399ec3f5eb07946f,,
Churrería Chocolatería The Streetlights,best churros,https://www.google.com/maps/place/Churrer%C3%ADa+Chocolater%C3%ADa+The+Streetlights/data=!4m2!3m1!1s0xd422f4099be010b:0xaf3c758f697b15ad,,
DeAtún,"A modern tapas bar and restaurant with a focus on tuna, especially the almadraba variety, which is fished off the coast of southern Spain and is very rare and very high quality (85% of the catch goes straight to Japan).
Location: https://g.page/DeAtunPonzano?share
We ordered:
Tuna with wakame sand = €19 “For 6 of them”
Tuna with asparagus = €19 “For 6 of them”
Tuna taco in a shiso leaf = €22 “For 4 of them”
Taco DeAtún con Chimichurri = €6.50
Taquitos DeAtún confitados con huevos de cordoniz y trufa de verano = €6.50",https://www.google.com/maps/place/DeAt%C3%BAn/data=!4m2!3m1!1s0xd4228f718c41c35:0xa05e85003cafcdaf,,
Sala de Despiece,"Modern tapas bar/restaurant where they create imaginative and delicious dishes from fantastic raw ingredients, and with a little bit of a show too. The bar is first-come, first-served - so get early to get in line. Or you can reserve online (http://www.saladedespiece.com/en/rese...) for their seated area alongside the bar (there is a €35 minimum food spend for reservations).
Location: https://goo.gl/maps/X1Cc2s37BE5bqmvZ9
We ordered:
Rolex: €6.50
Chuletón Zenital: €9.00
Beetroot dish which was off menu: €7
Korean Truffle: €14",https://www.google.com/maps/place/Sala+de+Despiece/data=!4m2!3m1!1s0xd4228f424eac6e5:0xf701c7bd82329aca,,
