Title,Note,URL,Tags,Comment
,,,,
Restoran Tong Sheng,Must eat! Butter milk crab solid,https://www.google.com/maps/place/Restoran+Tong+Sheng/data=!4m2!3m1!1s0x31d1ee33a42c9bfd:0x30cd338de7a65cfd,,
Da Cheng Lok Lok Melaka Branch 大成渌渌马六甲分行,,https://www.google.com/maps/place/Da+Cheng+Lok+Lok+Melaka+Branch+%E5%A4%A7%E6%88%90%E6%B8%8C%E6%B8%8C%E9%A9%AC%E5%85%AD%E7%94%B2%E5%88%86%E8%A1%8C/data=!4m2!3m1!1s0x31d1f1092d3ce85f:0xe6749a620811e433,,
Limbongan Hailam Kopitiam 海南咖啡店,,https://www.google.com/maps/place/Limbongan+Hailam+Kopitiam+%E6%B5%B7%E5%8D%97%E5%92%96%E5%95%A1%E5%BA%97/data=!4m2!3m1!1s0x31d1f1b0560f2a1d:0x956d767de8cc10ea,,
Roti Canai Kayu Arang Melaka,,https://www.google.com/maps/place/Roti+Canai+Kayu+Arang+Melaka/data=!4m2!3m1!1s0x31d1f030995c4dbf:0x85bbdcbe4139b010,,
Nasi Lemak Kukus Ala Nyonya,,https://www.google.com/maps/place/Nasi+Lemak+Kukus+Ala+Nyonya/data=!4m2!3m1!1s0x31d1faa4f7f7cb4f:0x2a3d388298bd5c66,,
Restaurant Chong Sek,,https://www.google.com/maps/place/Restaurant+Chong+Sek/data=!4m2!3m1!1s0x31d1f1c16b026867:0x57f789b19622f92b,,
Heng Huat Coffee Shop,,https://www.google.com/maps/place/Heng+Huat+Coffee+Shop/data=!4m2!3m1!1s0x31d1f1db65797791:0x60a7af775e60abf7,,
Loh Yong Moh Restaurant (Dim Sum),,https://www.google.com/maps/place/Loh+Yong+Moh+Restaurant+(Dim+Sum)/data=!4m2!3m1!1s0x31d1f1dc7574d1c1:0x19f65c37312d2bd8,,
Jonker 88,,https://www.google.com/maps/place/Jonker+88/data=!4m2!3m1!1s0x31d1f1dc7b74d01f:0x26d14afe7fc671d8,,
Kedai Kopi Chung Wah,,https://www.google.com/maps/place/Kedai+Kopi+Chung+Wah/data=!4m2!3m1!1s0x31d1f1dc2dccb2a9:0xe8fd4a0d70b641d1,,
Ban Lee Siang Satay Celup,,https://www.google.com/maps/place/Ban+Lee+Siang+Satay+Celup/data=!4m2!3m1!1s0x31d1f1d03954b23b:0xee6ce8812a503334,,
Nancy's Kitchen,,https://www.google.com/maps/place/Nancy's+Kitchen/data=!4m2!3m1!1s0x31d1f1dc8cc0db41:0xf958a4ade309da49,,
Aunty Koh Cendol,,https://www.google.com/maps/place/Aunty+Koh+Cendol/data=!4m2!3m1!1s0x31d1f09491599645:0x7a7d191f3c4a1fc8,,
Jalan Berkat 3,,https://www.google.com/maps/place/Jalan+Berkat+3/data=!4m2!3m1!1s0x31d1f0125684b181:0xb2f7c00b17930960,,
Putu Piring Melaka,,https://www.google.com/maps/place/Putu+Piring+Melaka/data=!4m2!3m1!1s0x31d1f1c88a5c6227:0x615c6ee88a127396,,
Klebang Original Coconut Shake,,https://www.google.com/maps/place/Klebang+Original+Coconut+Shake/data=!4m2!3m1!1s0x31d1f0feb627c9e5:0xe7d74052f719f2de,,
Loi's Top Beef & Bakuteh,,https://www.google.com/maps/place/Loi's+Top+Beef+%26+Bakuteh/data=!4m2!3m1!1s0x31d1efdd3fb7f6a3:0x9527bef4b0df8bc,,
Bah Ku Teh Teo Chew,,https://www.google.com/maps/place/Bah+Ku+Teh+Teo+Chew/data=!4m2!3m1!1s0x31d1f1e210be66fb:0xb1cd162e421cbddf,,
Tengkera Duck Noodle,,https://www.google.com/maps/place/Tengkera+Duck+Noodle/data=!4m2!3m1!1s0x31d1f1dd3a48622f:0xc350a1a9ebafb42b,,
Pak Putra Restaurant,,https://www.google.com/maps/place/Pak+Putra+Restaurant/data=!4m2!3m1!1s0x31d1f1dcd4f14c3d:0xbd169cadd9849550,,
Sun May Hiong Satay House,,https://www.google.com/maps/place/Sun+May+Hiong+Satay+House/data=!4m2!3m1!1s0x31d1f1dd5f604d01:0xab49705d5a313787,,
Aunty Fatso,,https://www.google.com/maps/place/Aunty+Fatso/data=!4m2!3m1!1s0x31d1f1e2a72ac829:0xcbaa691f8f3f0aa,,
Baba Charlie Nyonya Cake,,https://www.google.com/maps/place/Baba+Charlie+Nyonya+Cake/data=!4m2!3m1!1s0x31d1f1b7e46ba74f:0x8f98751173db674d,,
Bunga Raya Oh Chien Fried Oyster @ Medan Makan Boon Leong,,https://www.google.com/maps/place/Bunga+Raya+Oh+Chien+Fried+Oyster+@+Medan+Makan+Boon+Leong/data=!4m2!3m1!1s0x31d1f1d91810d97d:0x64ceb5a36faa0cdf,,
Restoran Lim Kee Bak Kut Teh,,https://www.google.com/maps/place/Restoran+Lim+Kee+Bak+Kut+Teh/data=!4m2!3m1!1s0x31d1ee23d4934f11:0xdc9583399bbd5be,,
May Chiang Kopitiam,,https://www.google.com/maps/place/May+Chiang+Kopitiam/data=!4m2!3m1!1s0x31d1f1d9911886d9:0x485b99641134d1c1,,
