Title,Note,URL,Tags,Comment
,,,,
Trattoria Aurora,,https://www.google.com/maps/place/Trattoria+Aurora/data=!4m2!3m1!1s0x4786c3e49d6c2dfd:0xd5190f546a35bf22,,
Pavé - Gelati&Granite,,https://www.google.com/maps/place/Pav%C3%A9+-+Gelati%26Granite/data=!4m2!3m1!1s0x4786c6a40a6ab2a1:0xfede00ed2510b5e3,,
Pizzeria Da Zero,,https://www.google.com/maps/place/Pizzeria+Da+Zero/data=!4m2!3m1!1s0x4786c153ed32b3c3:0xc511cfc838916270,,
Ratanà,!!! Risotto,https://www.google.com/maps/place/Ratan%C3%A0/data=!4m2!3m1!1s0x4786c6cd6523c353:0xa1af4c7346d2822a,,
Trattoria Trippa,"Traditional Lombardy dishes done with inventive twists. Be sure to order their beloved vitello tonnato, tripe or Milanese risotto with grilled bone marrow. It’s an unfussy place that knows exactly how to do food just right.",https://www.google.com/maps/place/Trattoria+Trippa/data=!4m2!3m1!1s0x4786c4218413ad69:0xfc783fe9dd0a5223,,
Il Massimo del Gelato,,https://www.google.com/maps/place/Il+Massimo+del+Gelato/data=!4m2!3m1!1s0x4786c116616aaf9f:0xe44a6eb511dddc14,,
Pascoli Piadineria Artigianale,Piadina,https://www.google.com/maps/place/Pascoli+Piadineria+Artigianale/data=!4m2!3m1!1s0x4786c6e866243e51:0x13d18a25ef80af4d,,
Don Lisander,cassoeula,https://www.google.com/maps/place/Don+Lisander/data=!4m2!3m1!1s0x4786c6b18c6c26c1:0x739b90eec6416bbc,,
Osteria dell'Acquabella,Ossobucco,https://www.google.com/maps/place/Osteria+dell'Acquabella/data=!4m2!3m1!1s0x4786c5e3f7673ad7:0x57c3ea5a6d703405,,
Trattoria Mirta,"makes an excellent bowl of minestrone garnished with goat cheese, if you’re lucky enough to catch it on the ever-changing menu.",https://www.google.com/maps/place/Trattoria+Mirta/data=!4m2!3m1!1s0x4786c6fca59cbac7:0xdefbd8f467c73ec8,,
