Title,Note,URL,Tags,Comment
,,,,
,!!! sausage burger,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f57a8a2c14b79:0xf5f3a278201cbcd3,,
,!!!,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f57a60f0e9ff1:0x6371be0c67b4699c,,
,!!!,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f57a732085995:0x1caf4f63b76cade1,,
,!!!,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f57ae2e391cc3:0xee7269d37aeaf6c3,,
,!!! one of the places to eat in Nuremberg to sample the best Nuremberg sausages in town,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f57af8dc40267:0xc3efee020b1a43ab,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f57a5816341bf:0xf7ab420678000b0b,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f57af7a6af1d5:0x8937df0a3731269d,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f56551e97ab73:0x43b6bc67cb43d5f2,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f57a8c63864d7:0x9d77f1628fe701d,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f57af8dc40267:0xd087eac7de11e545,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f5774349e8449:0x3d6695980cd7ce27,,
,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x479f57b1c4b44f51:0xa38cd3d15c304aa5,,
