Title,Note,URL,Tags,Comment
,,,,
Taiyoken Fukushima,,https://www.google.com/maps/place/Taiyoken+Fukushima/data=!4m2!3m1!1s0x6000e6603d5fd601:0xfd9014bc99d05fa,,
Pane Porcini,,https://www.google.com/maps/place/Pane+Porcini/data=!4m2!3m1!1s0x6000e6600fefb3d9:0x94ce677a6f76347e,,
Udon Sanku,,https://www.google.com/maps/place/Udon+Sanku/data=!4m2!3m1!1s0x6000e65ff3cdc279:0x91168c6586e8d092,,
Renshou,,https://www.google.com/maps/place/Renshou/data=!4m2!3m1!1s0x6000e65fe6407f2f:0xc177d63973111c7,,
Endō Sushi,,https://www.google.com/maps/place/End%C5%8D+Sushi/data=!4m2!3m1!1s0x6000e6452f5011d1:0x6e960d6bc7cbf2cc,,
Sushi-masa Nakaten ( central shop ),,https://www.google.com/maps/place/Sushi-masa+Nakaten+(+central+shop+)/data=!4m2!3m1!1s0x6000e6b8b723ab29:0x80828906dd4e7cc2,,
New Daruni,,https://www.google.com/maps/place/New+Daruni/data=!4m2!3m1!1s0x6000e742118e5a2b:0x6b1546ec50044029,,
Udon-bo Osaka,,https://www.google.com/maps/place/Udon-bo+Osaka/data=!4m2!3m1!1s0x6000e6ed006d84ad:0xe027c99ae468fedf,,
Mugi to Tori,,https://www.google.com/maps/place/Mugi+to+Tori/data=!4m2!3m1!1s0x6000e71f91f8047f:0x779e1e31585ac35a,,
Kotan Ramen Abechika,,https://www.google.com/maps/place/Kotan+Ramen+Abechika/data=!4m2!3m1!1s0x6000ddf74fe04833:0xda5a309cf818a28c,,
Naruto Taiyaki Honpo Sonezaki,,https://www.google.com/maps/place/Naruto+Taiyaki+Honpo+Sonezaki/data=!4m2!3m1!1s0x6000e6ecf39e672b:0xd4da4ff10ba27d77,,
Queen,,https://www.google.com/maps/place/Queen/data=!4m2!3m1!1s0x6000e695edb86a03:0x64bfc67062fef95d,,
Onigiri Gorichan,,https://www.google.com/maps/place/Onigiri+Gorichan/data=!4m2!3m1!1s0x6000e74506766bdd:0x49304f9852e856a8,,
Yorupafesenmonten Pafeteria Parushinsaibashi,,https://www.google.com/maps/place/Yorupafesenmonten+Pafeteria+Parushinsaibashi/data=!4m2!3m1!1s0x6000e72bd2ccabcd:0x2b86942dde606cca,,
Masuda,,https://www.google.com/maps/place/Masuda/data=!4m2!3m1!1s0x6000e5ce291e77b9:0x44f9edf59e4020e8,,
Kogaryu Takoyaki,,https://www.google.com/maps/place/Kogaryu+Takoyaki/data=!4m2!3m1!1s0x6000e7103bf6dfd9:0x9d0a7ebfbae15469,,
Ikki Kasuteira Shinsaibashi,,https://www.google.com/maps/place/Ikki+Kasuteira+Shinsaibashi/data=!4m2!3m1!1s0x6000e720d5ee768f:0x3dd3f9ea48d41f79,,
Hanshin Meibutsu Ikayaki,,https://www.google.com/maps/place/Hanshin+Meibutsu+Ikayaki/data=!4m2!3m1!1s0x6000e692b9000001:0xa783bb8e89963bbc,,
炭焼鰻寝床 福島店,,https://www.google.com/maps/place/%E7%82%AD%E7%84%BC%E9%B0%BB%E5%AF%9D%E5%BA%8A+%E7%A6%8F%E5%B3%B6%E5%BA%97/data=!4m2!3m1!1s0x6000e79b769362f5:0xa756ca94a621a416,,
Houzenji Sanpei,,https://www.google.com/maps/place/Houzenji+Sanpei/data=!4m2!3m1!1s0x6000e71495b45fc5:0x29fe312c1c6192f,,
Yaekatsu,,https://www.google.com/maps/place/Yaekatsu/data=!4m2!3m1!1s0x6000dd8ab619eebd:0x487dcc07ecb7e704,,
Tonkatsu KATSU Hana,,https://www.google.com/maps/place/Tonkatsu+KATSU+Hana/data=!4m2!3m1!1s0x6000e71886c5b1a3:0x3575f18b586c0d70,,
Hanadako,,https://www.google.com/maps/place/Hanadako/data=!4m2!3m1!1s0x6000e6ecef2992ff:0x9d8bdc0cf24d1679,,
Takoyaki Kukuru Dotonbori,,https://www.google.com/maps/place/Takoyaki+Kukuru+Dotonbori/data=!4m2!3m1!1s0x6000e7139b5e9703:0x9e0841f715ae6bfc,,
Takoyaki Wanaka Namba,,https://www.google.com/maps/place/Takoyaki+Wanaka+Namba/data=!4m2!3m1!1s0x6000e76cac635551:0x4348f99327be9416,,
Okonomiyaki Mizuno,,https://www.google.com/maps/place/Okonomiyaki+Mizuno/data=!4m2!3m1!1s0x6000e714c2f5aaa7:0xd012147b1d512f42,,
Ramen Yashichi,,https://www.google.com/maps/place/Ramen+Yashichi/data=!4m2!3m1!1s0x6000e69a5d78b897:0x86973da61411295e,,
Harukoma honten,,https://www.google.com/maps/place/Harukoma+honten/data=!4m2!3m1!1s0x6000e6b8b794b45b:0x5c61d10a267df043,,
