Title,Note,URL,Tags,Comment
,,,,
Ah Koo's Hokkien Mee @ Classic Cafe,,https://www.google.com/maps/place/Ah+Koo's+Hokkien+Mee+@+Classic+Cafe/data=!4m2!3m1!1s0x304ac3b780989443:0xb9bf6dc675aeada4,,
Goh Thew Chik Hainan Chicken Rice,,https://www.google.com/maps/place/Goh+Thew+Chik+Hainan+Chicken+Rice/data=!4m2!3m1!1s0x304ac390f3929a09:0x5a67b9793606f3ab,,
Street Grill - Burger Bakar,,https://www.google.com/maps/place/Street+Grill+-+Burger+Bakar/data=!4m2!3m1!1s0x304ac3e7917d5c3b:0xdf0ab839a6dac62a,,
Wai Kei Cafe,,https://www.google.com/maps/place/Wai+Kei+Cafe/data=!4m2!3m1!1s0x304ac390f3adad11:0x9d14bbd7a0e4f01e,,
Hon Kei Food Corner 汉记小食店,,https://www.google.com/maps/place/Hon+Kei+Food+Corner+%E6%B1%89%E8%AE%B0%E5%B0%8F%E9%A3%9F%E5%BA%97/data=!4m2!3m1!1s0x304ac397482e4851:0x6af63485048bf5d4,,
Sup Hameed,,https://www.google.com/maps/place/Sup+Hameed/data=!4m2!3m1!1s0x304ac39a1618709f:0x7b4e72667409e576,,
Siam Road Charcoal Char Kuey Teow,,https://www.google.com/maps/place/Siam+Road+Charcoal+Char+Kuey+Teow/data=!4m2!3m1!1s0x304ac3b9600a8c6b:0xd12bc6444efbb750,,
Soon Hiang Biscuit Shop,,https://www.google.com/maps/place/Soon+Hiang+Biscuit+Shop/data=!4m2!3m1!1s0x304ac3bf76e20995:0x271ad9175708e18f,,
Ivy's Nyonya Cuisine,,https://www.google.com/maps/place/Ivy's+Nyonya+Cuisine/data=!4m2!3m1!1s0x304ac3a4149bc0e7:0x7be1afa1c810426f,,
Chowrasta Market,,https://www.google.com/maps/place/Chowrasta+Market/data=!4m2!3m1!1s0x304ac3971dd6691f:0x998b990e4f66699e,,
888 Hokkien Mee,,https://www.google.com/maps/place/888+Hokkien+Mee/data=!4m2!3m1!1s0x304ac394dec9975f:0xeb45b4941686a367,,
Teksen Restaurant,,https://www.google.com/maps/place/Teksen+Restaurant/data=!4m2!3m1!1s0x304ac391a9753e73:0xeb4a3550c86316ea,,
Pitt Street Koay Teow Th'ng (Eel Fish Ball Noodle),,https://www.google.com/maps/place/Pitt+Street+Koay+Teow+Th'ng+(Eel+Fish+Ball+Noodle)/data=!4m2!3m1!1s0x304ac393e8f344ed:0x56e2ccd338ef28ec,,
Bridge Street Prawn Noodle 正宗橋頭福建蝦麵,,https://www.google.com/maps/place/Bridge+Street+Prawn+Noodle+%E6%AD%A3%E5%AE%97%E6%A9%8B%E9%A0%AD%E7%A6%8F%E5%BB%BA%E8%9D%A6%E9%BA%B5/data=!4m2!3m1!1s0x304ac3936e5c7535:0x9d324735c9ef3d49,,
Chulia Street Hawker Food,,https://www.google.com/maps/place/Chulia+Street+Hawker+Food/data=!4m2!3m1!1s0x304ac3904b1d7b37:0xd6f5c65a3d16a52,,
