Title,Note,URL,Tags,Comment
,,,,
Churras,,https://www.google.com/maps/place/Churras/data=!4m2!3m1!1s0x2a32afd1ec27b89d:0x32baa2df4abcbaef,,
Pronto Butcher,,https://www.google.com/maps/place/Pronto+Butcher/data=!4m2!3m1!1s0x2a32a44814a76dfd:0x8144fb101ac153f3,,
Commonage Coffee Co.,,https://www.google.com/maps/place/Commonage+Coffee+Co./data=!4m2!3m1!1s0x2a2e5bc18c718c67:0x3f76bcdef955e868,,
Goanna Bush Cafe,,https://www.google.com/maps/place/Goanna+Bush+Cafe/data=!4m2!3m1!1s0x2a2e435241494a2b:0x2d03a6e623aa84d6,,
The Cure,,https://www.google.com/maps/place/The+Cure/data=!4m2!3m1!1s0x2a2e42e078401e9b:0xf403a08aebf8995e,,
KYST,,https://www.google.com/maps/place/KYST/data=!4m2!3m1!1s0x2a2e393cd19aaaab:0x3b42557138a3f0c7,,
Alfred's Kitchen,,https://www.google.com/maps/place/Alfred's+Kitchen/data=!4m2!3m1!1s0x2a32b9c32dc8f4d7:0x77a50ad97cfb47e2,,
The Lucky Shag,,https://www.google.com/maps/place/The+Lucky+Shag/data=!4m2!3m1!1s0x2a32bb2bcf088057:0x443f727915fb59e7,,
Kailis Fishmarket Cafe,,https://www.google.com/maps/place/Kailis+Fishmarket+Cafe/data=!4m2!3m1!1s0x2a32a1711b0df259:0x30d5d21bf228dcef,,
Simmos Ice Creamery,,https://www.google.com/maps/place/Simmos+Ice+Creamery/data=!4m2!3m1!1s0x2a2e4323e3cc4155:0xdc53ba90e6d3e666,,
Rose Valley Cheese Company,,https://www.google.com/maps/place/Rose+Valley+Cheese+Company/data=!4m2!3m1!1s0x2a329302eb4eaa07:0x177c0b0a83a7dc9c,,
Wild Bakery,,https://www.google.com/maps/place/Wild+Bakery/data=!4m2!3m1!1s0x2a32a1864100ced7:0x2190f6655ff89a9,,
Chu Bakery,,https://www.google.com/maps/place/Chu+Bakery/data=!4m2!3m1!1s0x2a32bac5eebbdea9:0xfa1fd6d9e3df2a54,,
Freddie Strudels,,https://www.google.com/maps/place/Freddie+Strudels/data=!4m2!3m1!1s0x2a32bace551f3667:0x823863f8d327b944,,
Local Bird,,https://www.google.com/maps/place/Local+Bird/data=!4m2!3m1!1s0x2a32afba192039a5:0x13eafe76ea8ced32,,
Big Rigz Burger Co.,,https://www.google.com/maps/place/Big+Rigz+Burger+Co./data=!4m2!3m1!1s0x2a32a1cbb62bce37:0x69f548fcab9c6a7a,,
Bad Love Burger Co.,,https://www.google.com/maps/place/Bad+Love+Burger+Co./data=!4m2!3m1!1s0x2a32a5c77dc5b117:0xd4d7ee6fa623ab19,,
8 Yolks Success,,https://www.google.com/maps/place/8+Yolks+Success/data=!4m2!3m1!1s0x2a3299689ab07cf1:0x4db31ea4dfa3f345,,
Ciao Italia,,https://www.google.com/maps/place/Ciao+Italia/data=!4m2!3m1!1s0x2a32bb46cf858345:0x6180cf5aba70c19f,,
The Cray Seafood & Grill Restaurant Innaloo,,https://www.google.com/maps/place/The+Cray+Seafood+%26+Grill+Restaurant+Innaloo/data=!4m2!3m1!1s0x2a32af9647d75b45:0x6ed64fa7cf91211b,,
Clancy's Fish Pub Canning Bridge,,https://www.google.com/maps/place/Clancy's+Fish+Pub+Canning+Bridge/data=!4m2!3m1!1s0x2a32a34db229f53d:0x4922ff79d221cdac,,
Torre Butchers,,https://www.google.com/maps/place/Torre+Butchers/data=!4m2!3m1!1s0x2a32bad23af894b9:0xb1b650fb360ea2ad,,
Yanchep Lavender,,https://www.google.com/maps/place/Yanchep+Lavender/data=!4m2!3m1!1s0x2bcd59acc0aee8b9:0xe1a217bd56ee65db,,
Larner's Oyster Supplies,,https://www.google.com/maps/place/Larner's+Oyster+Supplies/data=!4m2!3m1!1s0x2a32a24cdc937cb7:0x29cbb91bc1c66ce5,,
Dear Darnell's,,https://www.google.com/maps/place/Dear+Darnell's/data=!4m2!3m1!1s0x2a2fb1b56dbbe661:0x19606d62b1e3c3b4,,
Margaret River Brewhouse,,https://www.google.com/maps/place/Margaret+River+Brewhouse/data=!4m2!3m1!1s0x2a2fad4946be1d9b:0xae84e0fdff34cc8b,,
Swings & Roundabouts Margaret River,,https://www.google.com/maps/place/Swings+%26+Roundabouts+Margaret+River/data=!4m2!3m1!1s0x2a2fad461f476fcd:0x3627dacd0ef8b61f,,
Bunbury Farmers Market,,https://www.google.com/maps/place/Bunbury+Farmers+Market/data=!4m2!3m1!1s0x2a2e1d6e39d4bdb7:0xc3c7436f4f926b01,,
The Crooked Carrot,,https://www.google.com/maps/place/The+Crooked+Carrot/data=!4m2!3m1!1s0x2a3201bc87f17aab:0x362e4ec21c0a2cc1,,
Hong Kong BBQ House,,https://www.google.com/maps/place/Hong+Kong+BBQ+House/data=!4m2!3m1!1s0x2a32bad187d4d95d:0x92e120f490f09aff,,
Witchy Pies & Cakery /Cookies Galore,,https://www.google.com/maps/place/Witchy+Pies+%26+Cakery+%2FCookies+Galore/data=!4m2!3m1!1s0x2a2fb1fc994f4a2b:0xca4b67beb25a0495,,
Pinjarra Bakery (Pinjarra),,https://www.google.com/maps/place/Pinjarra+Bakery+(Pinjarra)/data=!4m2!3m1!1s0x2a326e34f36b4b21:0x25251d0020ea3451,,
Imperial Court,,https://www.google.com/maps/place/Imperial+Court/data=!4m2!3m1!1s0x2a32bb538ef831b7:0x81789fe19289882f,,
Fish Boss Inglewood,,https://www.google.com/maps/place/Fish+Boss+Inglewood/data=!4m2!3m1!1s0x2a32bbd8b1b4a589:0x3de626b4db2da064,,
Pizzeria Tiramisu,,https://www.google.com/maps/place/Pizzeria+Tiramisu/data=!4m2!3m1!1s0x2a32bd9582eefb13:0x1970039921dcdd2c,,
Canteen Pizza,,https://www.google.com/maps/place/Canteen+Pizza/data=!4m2!3m1!1s0x2a32a69c04fbc8e5:0x2391f87a5d6de191,,
