Würzburg - Rothenburg ob der Tauber - Dinkelsbühl - Nördlingen - Augsburg

Title,Note,URL,Tags,Comment
,,,,
Ratskeller Augsburg,!!!,https://www.google.com/maps/place/Ratskeller+Augsburg/data=!4m2!3m1!1s0x479ebd514d0f5d1d:0xd6e8813f6dccfb5,,
Zur Hoell,!!!,https://www.google.com/maps/place/Zur+Hoell/data=!4m2!3m1!1s0x47988fa62fa79fed:0x5e91404707c29f88,,
Hafengasse 24,!!! Knieküchle - Pastry made of yeast dough,https://www.google.com/maps/place/Hafengasse+24/data=!4m2!3m1!1s0x47988fa5d991b6cb:0x109b12b5717b8d3e,,
Restaurant Gasthaus zur Schranne in Rothenburg o/T,!!! Gebackener Karpfen - Fried Carp,https://www.google.com/maps/place/Restaurant+Gasthaus+zur+Schranne+in+Rothenburg+o%2FT/data=!4m2!3m1!1s0x47988fa6cfbbe631:0x4425aa574020c36c,,
MyWurscht,!!!,https://www.google.com/maps/place/MyWurscht/data=!4m2!3m1!1s0x47a29033ba510827:0x32207656fdce97b1,,
CiCo Gelateria Artigianale,!!!,https://www.google.com/maps/place/CiCo+Gelateria+Artigianale/data=!4m2!3m1!1s0x47a2918d6f692691:0x4ecdcaf7d60f0f86,,
Bratwurststand Knüpfing,!!!,https://www.google.com/maps/place/Bratwurststand+Kn%C3%BCpfing/data=!4m2!3m1!1s0x47a29033f6a2100f:0xc1553f957bb14432,,
Bäckerei-Konditorei-Café Walter Friedel e.K.,"!!! Schneeball - Snowball short crust pastry, this one was covered with marzipan and white chocolate",https://www.google.com/maps/place/B%C3%A4ckerei-Konditorei-Caf%C3%A9+Walter+Friedel+e.K./data=!4m2!3m1!1s0x47988fa65ee58777:0x7b9c37188c19b7c,,
John Benton,,https://www.google.com/maps/place/John+Benton/data=!4m2!3m1!1s0x479ebd513acc9111:0xb1e58f1eb71208d1,,
Hotel-Gasthof Goldener Greifen,,https://www.google.com/maps/place/Hotel-Gasthof+Goldener+Greifen/data=!4m2!3m1!1s0x47988fa66b7649db:0xa09803703c8e236,,
Altfraenkische Weinstube,,https://www.google.com/maps/place/Altfraenkische+Weinstube/data=!4m2!3m1!1s0x47988fa70d96adab:0x1d29ecefcc9612b7,,
