Title,Note,URL,Tags,Comment
,,,,
eMe Be Garrote,,https://www.google.com/maps/place/eMe+Be+Garrote/data=!4m2!3m1!1s0xd51b06d0f2854eb:0xc121b612c6e56f39,,
Ramuntxo Berri,brie (covered with poppy seeds) - black colour and some tomato sauce,https://www.google.com/maps/place/Ramuntxo+Berri/data=!4m2!3m1!1s0xd51a545423cdcf5:0x8118f2eb90133578,,
Bodega Donostiarra Gros,"!!! tune sandwich, some tuna olive thing, tomatoes",https://www.google.com/maps/place/Bodega+Donostiarra+Gros/data=!4m2!3m1!1s0xd51a545421576e9:0x229428a434daa2ac,,
Hidalgo 56,volcano blood saussage,https://www.google.com/maps/place/Hidalgo+56/data=!4m2!3m1!1s0xd51a5453e5b7ed3:0xb0f291c155c38058,,
Matalauva,breadstick in cured pork belly & garlic soup & fried apple in flour,https://www.google.com/maps/place/Matalauva/data=!4m2!3m1!1s0xd51a544e1100003:0x5c60bb86b577b5a8,,
Zabaleta Kalea,tortilla,https://www.google.com/maps/place/Zabaleta+Kalea/data=!4m2!3m1!1s0xd51a5448bda319f:0x4854d69922c61ddd,,
Bar Ricardo,fried mussel thing,https://www.google.com/maps/place/Bar+Ricardo/data=!4m2!3m1!1s0xd51a543715c6bb5:0x7a51002ff03bf115,,
Bergara,chalupa & anchovies,https://www.google.com/maps/place/Bergara/data=!4m2!3m1!1s0xd51a54398f278b9:0x3097d4bd1552d06f,,
Altuna Boutique Bar,"Not quite a pintxo bar, but these guys do some fantastic market-fresh shared plates!",https://www.google.com/maps/place/Altuna+Boutique+Bar/data=!4m2!3m1!1s0xd51a5a7d5bf496b:0xb0dc41013be5e6bf,,
Narru Restaurant,Fancy bar in a hotel lobby serving some seriously good chicken wings.,https://www.google.com/maps/place/Narru+Restaurant/data=!4m2!3m1!1s0xd51a554c8d0f103:0xebb373a97008260e,,
Bar Ciaboga,A tiny hidden spot famous for one very garlicky potato dish,https://www.google.com/maps/place/Bar+Ciaboga/data=!4m2!3m1!1s0xd51a553f298fd49:0xcc5305b514c8dd6b,,
La Espiga,"San Sebastian's oldest pintxo bar, and home to the fabulpous Jesus",https://www.google.com/maps/place/La+Espiga/data=!4m2!3m1!1s0xd51a553e6fa797d:0x54fb684ef99325e4,,
Casa Valles,"the home of the gilda, the original pintxo!",https://www.google.com/maps/place/Casa+Valles/data=!4m2!3m1!1s0xd51a5571cd61475:0x424f7fa48fd6f268,,
Restaurante Kokotxa,Mich star ~ if feeling rich ;),https://www.google.com/maps/place/Restaurante+Kokotxa/data=!4m2!3m1!1s0xd51a54d3d0226a3:0x7cf9d6d0b661f11,,
Kanoyetan,gastronomic society (only man cooking club),https://www.google.com/maps/place/Kanoyetan/data=!4m2!3m1!1s0xd51a54daccb1ec5:0xb5c68b5b47a633b6,,
La Viña,cheese cake (go early),https://www.google.com/maps/place/La+Vi%C3%B1a/data=!4m2!3m1!1s0xd51a54c4a671fb5:0x445db0f87ff7dacb,,
Petritegi Sagardotegia,,https://www.google.com/maps/place/Petritegi+Sagardotegia/data=!4m2!3m1!1s0xd51af0d60fd9e9b:0xe3f1af398c032989,,
Zapiain,,https://www.google.com/maps/place/Zapiain/data=!4m2!3m1!1s0xd51af0623e50e31:0xebae96ff3eebd57e,,
