Title,Note,URL,Tags,Comment
,,,,
Gligora Cheese & Deli Split,,https://www.google.com/maps/place/Gligora+Cheese+%26+Deli+Split/data=!4m2!3m1!1s0x13355d4683188071:0x79f007d18aae306d,,
DELIIICIJE,,https://www.google.com/maps/place/DELIIICIJE/data=!4m2!3m1!1s0x13355ddcb7937ee9:0x2236b8620d36f709,,
Adriatic Sushi & Oyster bar Split,Oyster,https://www.google.com/maps/place/Adriatic+Sushi+%26+Oyster+bar+Split/data=!4m2!3m1!1s0x13355e00989f343f:0xb732588c37851760,,
Restaurant & Catering ARKADA,"that is famous for its rich tradition,it has been there since 1969",https://www.google.com/maps/place/Restaurant+%26+Catering+ARKADA/data=!4m2!3m1!1s0x134aa0012b46a6c9:0xba777038858a4595,,
Mini Bota sushi & oyster bar,,https://www.google.com/maps/place/Mini+Bota+sushi+%26+oyster+bar/data=!4m2!3m1!1s0x13355dfefbf305bb:0xacafd6ca627116c2,,
Fife,"For those nearing the end of their budget, but who still want to experience the best of Croatian cuisine, Buffet Fife is the place to go. Located in the upcoming Veli Varos neighborhood, historically known for its fishermen, this Split institution offers a true local experience of indifferent service, loud kitchen staff, crowded table sharing and, of course, cheap wine. There are daily specials on offer here, anything ranging from chicken hot pot or black cuttlefish risotto to fried sardines and lamb meatballs with boiled potatoes. Whatever you choose, everything is delicious and sourced from the freshest ingredients.",https://www.google.com/maps/place/Fife/data=!4m2!3m1!1s0x13355df89baf6b07:0x5041498ffd19d3f5,,
Konoba Matejuska,"Konoba Matejuska can be found occupying the ground of an old Dalmatian house that was built in the 19th century. Exuding a rustic ambience, the cozy, family-run restaurant specializes in top-notch seafood at no-fuss prices by the weight. Come early or reserve as there are only five or six tables squeezed into the below street-level dining room. The black risotto is a speciality here so consider your options carefully when confronted by the delicious menu of local dishes and refreshing wines.",https://www.google.com/maps/place/Konoba+Matejuska/data=!4m2!3m1!1s0x13355dff2d034f63:0x4d29c1345367dc6d,,
Zinfandel Food & Wine bar,"!!! Food & Wine Bar Zinfandel is located in the old part of Split. The place is modern and chic. The design is contemporary with brick walls and big floor-to-ceiling windows that can open completely.

Zinfandel has over 100 international and Croatian wines on offer, as well as a wide choice of seasonal tapas and cold platters. Look for their lunchtime specials when you get a free glass of house wine with food, or sometimes they just put all the items on the menu at half price.",https://www.google.com/maps/place/Zinfandel+Food+%26+Wine+bar/data=!4m2!3m1!1s0x13355dfe484b299b:0x4464bd81a1e921e7,,
Luka Ice Cream & Cakes,"!!! If you feel like having ice cream, head to Lukas Ice Cream and Cakes shop.  We find Lukas Ice Cream the best in town. There is a great variety of flavors with new flavors being introduced on a daily basis. Dont miss his lavender or yogurt and rosemary ice cream.",https://www.google.com/maps/place/Luka+Ice+Cream+%26+Cakes/data=!4m2!3m1!1s0x13355dfc3087d5b7:0xf2aaac93776c63cb,,
Kantun Paulina,"Kantun Paulina – or Paulina’s Corner – is another of the classic Split places to eat. For almost 50 years the unassuming corner restaurant has been serving up some of the best food in Split, Croatia. Popular with locals and visitors, guests line up for Kantun Paulina’s famous cevapi. Although considered the national dish of neighboring Bosnia Herzegovina, cevapi are popular throughout the Balkans.

The little grilled sausages – made from a mixture of beef and pork – are stuffed into pillowy somun bread along with raw onions and then slathered with a pepper sauce, called ajvar. To take this cevapi sandwich over the top, we always order it with kajmak, a clotted cream.

Cevapi are considered one of the top cheap eats in Split, Croatia and Kantun Paulina is the place to get them! A massive sandwich with seven sausages and added kajmak costs 39 kuna (about $5.50).",https://www.google.com/maps/place/Kantun+Paulina/data=!4m2!3m1!1s0x13355dfe99fe7705:0xf38baeb72bf39c7c,,
ST Burek,"Split Burek, which uses the abbreviation ST Burek, is one of the best places in Split for a quick and satisfying meal. It’s also one of the cheap places to eat in Split, with a hearty portion of burek costs just 16 kuna, which is about $2.25 USD.

A Balkan classic, burek is phyllo dough stuffed with spiced minced meat that is baked and served like a pie. Available at many bakeries and shops in Split and the region, the burek at ST Burek is perfection.

Variations at ST Burek include fillings of cheese, apple or spinach – but, trust us, the meat burek, called mesom, is by far the best. We often eat at ST Burek for lunch, but it’s also consumed as a favorite late-night snack or morning hangover remedy.",https://www.google.com/maps/place/ST+Burek/data=!4m2!3m1!1s0x13355dfe64deed93:0xbb75fc6aa29c0a5b,,
