Title,Note,URL,Tags,Comment
,,,,
Mutekiya,Solid ramen,https://www.google.com/maps/place/Mutekiya/data=!4m2!3m1!1s0x60188d682708f977:0x829333b0d73eb2cd,,
Horiichi,Stumbled into this by chance ,https://www.google.com/maps/place/Horiichi/data=!4m2!3m1!1s0x60188b75cd9fb6eb:0x5e4e99bbdd4bd64c,,
國虎商店,¥2500 for 8 pieces of their fresh and amazing otoro,https://www.google.com/maps/place/%E5%9C%8B%E8%99%8E%E5%95%86%E5%BA%97/data=!4m2!3m1!1s0x60188b4ffd522299:0x236a2ec9a4bf2e58,,
Tsukiji Donburi Ichiba,seafood rice bowl (grilled tuna cheek),https://www.google.com/maps/place/Tsukiji+Donburi+Ichiba/data=!4m2!3m1!1s0x60188bdede36b163:0x1b4d54da684f6f71,,
Unitora Nakadori,uni,https://www.google.com/maps/place/Unitora+Nakadori/data=!4m2!3m1!1s0x60188bdf270a08ed:0x6d303301c3bd21f8,,
Tsukiji Teppan-yaki Jūjū,grilled wagyu beef with uni,https://www.google.com/maps/place/Tsukiji+Teppan-yaki+J%C5%ABj%C5%AB/data=!4m2!3m1!1s0x60188beaa772412f:0x4f4070e3cbcd6ea6,,
Tadokoro Shokuhin,Grilled salmon and Ikura onigiri,https://www.google.com/maps/place/Tadokoro+Shokuhin/data=!4m2!3m1!1s0x60188bdedd48071d:0x327c8d63691d9e3c,,
Nihonbashi tonkatsu Hajime,,https://www.google.com/maps/place/Nihonbashi+tonkatsu+Hajime/data=!4m2!3m1!1s0x6018893a6a0bc439:0x5b3c4a97aeae1398,,
Kaneko Hannosuke - Nihonbashi Main Shop,,https://www.google.com/maps/place/Kaneko+Hannosuke+-+Nihonbashi+Main+Shop/data=!4m2!3m1!1s0x60188955d3834ea3:0x1cd196b29b306fb0,,
Tonkatsu Hinata,Red,https://www.google.com/maps/place/Tonkatsu+Hinata/data=!4m2!3m1!1s0x60188d3c1e2727c5:0x8dbc95358389cff2,,
Maguro-to-shari,Yellow,https://www.google.com/maps/place/Maguro-to-shari/data=!4m2!3m1!1s0x60188bab34fdab09:0x37c057eb826a7f6a,,
Iruca Tokyo Roppongi,Yellow,https://www.google.com/maps/place/Iruca+Tokyo+Roppongi/data=!4m2!3m1!1s0x60188b44a91c83f3:0x8b281245ba52a8f0,,
Jambo Hanare,Red,https://www.google.com/maps/place/Jambo+Hanare/data=!4m2!3m1!1s0x60188c3cb38b9a41:0xf42ff072b0cf47ff,,
Chūka Soba Ginza Hachigou,Red,https://www.google.com/maps/place/Ch%C5%ABka+Soba+Ginza+Hachigou/data=!4m2!3m1!1s0x60188be664634e5f:0xb960da45f432b5da,,
Katsuo Shokudo,Red,https://www.google.com/maps/place/Katsuo+Shokudo/data=!4m2!3m1!1s0x60188b58b9a156e5:0xac430c2169731c76,,
Tachiguizushi Akira Shinbashi Branch,Red,https://www.google.com/maps/place/Tachiguizushi+Akira+Shinbashi+Branch/data=!4m2!3m1!1s0x60188b89cf02cf8f:0x2c1cd5c56d668c7a,,
Tsujihan Akasaka Ark Hills,,https://www.google.com/maps/place/Tsujihan+Akasaka+Ark+Hills/data=!4m2!3m1!1s0x60188b85266c017f:0x24d42279d1e0a375,,
Unagi Obana,Yellow,https://www.google.com/maps/place/Unagi+Obana/data=!4m2!3m1!1s0x60188ef4421d1ed1:0x75da5e39a74ffcbb,,
Sanshuu-ya,Yellow,https://www.google.com/maps/place/Sanshuu-ya/data=!4m2!3m1!1s0x60188b8282b2e897:0xb005b72073efb578,,
Tempura Shinjuku Tsunahachi Ginza,Yellow,https://www.google.com/maps/place/Tempura+Shinjuku+Tsunahachi+Ginza/data=!4m2!3m1!1s0x60188be6a113cf9b:0x8aae9ff02be67fe6,,
Ningyocho Imahan,Red,https://www.google.com/maps/place/Ningyocho+Imahan/data=!4m2!3m1!1s0x6018894fd1c12f2f:0x306acc4e4e9ed1cf,,
下北沢 カフェSTABLER Shimokitazawa Meatsand 2nd,Yellow,https://www.google.com/maps/place/%E4%B8%8B%E5%8C%97%E6%B2%A2+%E3%82%AB%E3%83%95%E3%82%A7STABLER+Shimokitazawa+Meatsand+2nd/data=!4m2!3m1!1s0x6018f3340d9e1887:0x1a6b727e46e9f56c,,
Sushi Tatsuya,Yellow,https://www.google.com/maps/place/Sushi+Tatsuya/data=!4m2!3m1!1s0x60188b2ac0653457:0x8e2cb134ae5e22b0,,
Yakiuo Ishikawa,Red,https://www.google.com/maps/place/Yakiuo+Ishikawa/data=!4m2!3m1!1s0x60188bf511365c59:0xd03666a5d2b8df14,,
Roast Beef Ōno Akihabara,Yellow,https://www.google.com/maps/place/Roast+Beef+%C5%8Cno+Akihabara/data=!4m2!3m1!1s0x60188c1d19140001:0x6bbfd1a1cafa29df,,
Watabe,Red,https://www.google.com/maps/place/Watabe/data=!4m2!3m1!1s0x60188c49e645e1f3:0x8a8ba0720a9317e7,,
Rokurinsha,Yellow,https://www.google.com/maps/place/Rokurinsha/data=!4m2!3m1!1s0x60188bfeba8313b7:0x9a9993c592e5429c,,
Hitsumabushi Bincho,Yellow,https://www.google.com/maps/place/Hitsumabushi+Bincho/data=!4m2!3m1!1s0x60188be4ff7a4fc5:0x9e8e3b2862945879,,
ミートマン 六本木店,Red,https://www.google.com/maps/place/%E3%83%9F%E3%83%BC%E3%83%88%E3%83%9E%E3%83%B3+%E5%85%AD%E6%9C%AC%E6%9C%A8%E5%BA%97/data=!4m2!3m1!1s0x60188b82b1236e75:0x6f43e8f01158a109,,
Udon Shin,Yellow,https://www.google.com/maps/place/Udon+Shin/data=!4m2!3m1!1s0x60188cd1efa50001:0x4b21a07a78a71766,,
Fukakusa Ramen Toriton,,https://www.google.com/maps/place/Fukakusa+Ramen+Toriton/data=!4m2!3m1!1s0x60010f6b1cbfaaab:0xfd539044e2a23d0b,,
Omoide Yokochō,,https://www.google.com/maps/place/Omoide+Yokoch%C5%8D/data=!4m2!3m1!1s0x60188cd7058ad73f:0x908f55935cc13cd3,,
BLACOWS,,https://www.google.com/maps/place/BLACOWS/data=!4m2!3m1!1s0x60188b43edf2af03:0xd017aeed6fd54147,,
Hachiya,,https://www.google.com/maps/place/Hachiya/data=!4m2!3m1!1s0x60188b43f97e3dd7:0x7ebbae9fd6858cc4,,
Shibuya Morimoto,,https://www.google.com/maps/place/Shibuya+Morimoto/data=!4m2!3m1!1s0x60188b562c66b20d:0xbf11df5152df251c,,
KOFFEE MAMEYA,,https://www.google.com/maps/place/KOFFEE+MAMEYA/data=!4m2!3m1!1s0x60188ca378255a07:0x464a32ea35065dff,,
Udatsu Sushi,,https://www.google.com/maps/place/Udatsu+Sushi/data=!4m2!3m1!1s0x60188ba9c1c73cef:0xb1e2d4de0a6b9a0c,,
Seisoka,,https://www.google.com/maps/place/Seisoka/data=!4m2!3m1!1s0x60188b0db0e508a1:0xb85edae7e1a4a672,,
Manten Sushi Marunouchi,,https://www.google.com/maps/place/Manten+Sushi+Marunouchi/data=!4m2!3m1!1s0x60188bfa0cd1027b:0x4b69f6eadb719f47,,
Ume Sushi,,https://www.google.com/maps/place/Ume+Sushi/data=!4m2!3m1!1s0x6018f296c9db79b7:0x6fb5e7921063ef81,,
Pork Vindaloo Taberu Fukudaitoryo,,https://www.google.com/maps/place/Pork+Vindaloo+Taberu+Fukudaitoryo/data=!4m2!3m1!1s0x60188d410b5e5b4d:0x13e13b46fae79d38,,
Uogashi Nihon-Ichi (Standing Sushi Bar),,https://www.google.com/maps/place/Uogashi+Nihon-Ichi+(Standing+Sushi+Bar)/data=!4m2!3m1!1s0x60188cd149d5e2e7:0xc75f7cbd35df693b,,
